city,Cement(kg),Steel(kg),Timber(kg),Brick(kg),Gravel(kg),Sand(kg),Asphalt(kg),Lime(kg),Glass(kg),Ceramic(kg),Total MS(t),material_sum
nantong,286319778924.7409,21810538155.074337,7384391764.135803,154688196872.95575,217332135655.3387,170448653090.28864,676753620.6879952,5148479179.002872,523523120.7077276,828308917.9347655,866062828.6235744,865160759300.8676
zhengzhou,809643651226.8691,60668612520.4719,19417346102.688366,414255139564.4993,613368975940.2313,487778901098.3322,1865361446.7344313,14900958360.248745,1507738231.174781,2248262198.000626,2418537343.6316648,2425654946689.2505
xian,601004135689.4812,44114516327.58706,16009723495.325924,299805942265.28455,421303006576.9632,339155356432.9675,1459294700.273947,11270974565.168232,1088157314.8972805,1612960724.6098058,1738422643.6477811,1736824068092.5586
haerbin,536927851542.6196,39871912424.89695,15908646399.377527,275359433407.86224,359933348259.3086,296446355573.7656,1513106149.153071,10674315191.831215,1083504809.3301585,1633046175.0397441,1540988686.648793,1539351519933.1848
urumqi,167843257159.0557,11818797472.414059,5010381478.19133,88274445489.85768,107280446715.96748,88990417412.0736,466968942.0206596,3191206743.367524,307649849.20027345,422899532.65965855,476051136.0950627,473606470794.8079
beijing,1758248472807.8154,121083975735.65509,54613371440.3849,904985138588.3267,1121327436611.845,931063275423.7155,4531170961.779065,34547954255.32401,3382073793.8009105,4862682107.135924,4929383394.336837,4938645551725.782
changsha,182998991343.21893,13768660468.650467,4844788153.721464,97981849823.04845,134758808420.42815,106664332694.99818,439641034.8340556,3460950937.2717094,329824751.00272745,509301524.54807,542984390.7996807,545757149151.7222
hohhot,288426872776.53107,20971835538.195473,7979231676.500091,147843418422.5169,193449162696.06778,158178716869.17212,807118215.1314719,5632259283.367517,565823554.5625366,788649584.9884422,827215864.2848393,824643088617.0333
ningbo,358851729628.00275,27994682018.553093,9392315861.01566,192188614336.97263,275074870811.96063,215662361055.28592,854258543.6199579,6609574477.546165,663163101.9087813,1046464662.639643,1087553885.7586439,1088338034497.5054
shanghai,1600643853701.5464,121287792219.14748,38723911871.1898,812330646474.0673,1191953050753.3743,951958706444.1902,3717803809.6474614,28917499111.070892,2944642835.4758077,3970430342.306883,4748224342.728235,4756448337562.017
