City,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
nantong,1712277.260564115,148340.85178154462,5912442.521007277,2767616.4632385317,646342.2827624443,109772.230318343,5509.803066171657,5085.972061081529,11307387.384799512
zhengzhou,5333012.433685398,462018.4039083884,18414733.527205765,8619943.364347933,2013080.188457978,341893.6188922074,17160.68357374014,15840.630991144746,35217682.85106255
xian,5312628.491836281,460252.46835215297,18344348.381464384,8586996.05239874,2005385.7549629526,340586.82658059325,17095.091681651396,15780.084629216675,35083073.15190597
haerbin,8651564.733877443,749516.7467468082,29873596.048908494,13983841.017876167,3265751.5393968076,554642.3925926381,27839.193450595732,25697.71703131914,57132449.38988028
urumqi,4546247.267048234,393858.05531358474,15698056.77607002,7348266.003422024,1716095.812437762,291454.9609320527,14629.013483076003,13503.704753608617,30022111.593460362
beijing,12777806.444343176,1106988.1820594333,44121386.11351171,20653236.653851714,4823305.650401818,819171.2547239808,41116.70390506467,37953.880527752,84380964.88332465
changsha,2461466.8195173666,213245.88782947484,8499371.814917639,3978558.992932773,929142.7969712832,157801.95699381136,7920.561547951922,7311.287582724851,16254820.118293025
hohhot,3603476.0196458385,312182.32843466423,12442695.661895905,5824430.299081022,1360223.0024653226,231014.92304165152,11595.343627573242,10703.394117759915,23796320.97230973
ningbo,1571077.20365413,136108.17358389738,5424882.918558195,2539389.6385795716,593042.7563298385,100720.04845208407,5055.446447401902,4666.56595144791,10374942.751556568
shanghai,6945719.512746984,601733.126104318,23983363.169014957,11226620.895603416,2621837.1923116706,445282.5133171952,22350.08754101752,20630.850037862325,45867537.34667742
guiyang,4138480.0166599504,358531.6846116294,14290048.572377801,6689176.858611256,1562173.7686649566,265313.44661260577,13316.891142717663,12292.51490097015,27329333.753581885
changchun,6038448.4400435425,523132.90940971277,20850583.103615697,9760165.424129784,2279364.8195708916,387118.3529631875,19430.65092093219,17935.985465475867,39876179.68611922
