City,Cement,Steel,Gravel,Sand,Asphalt,Mineral,Total
Nantong,33224057.62310247,402106.5729771511,710748778.0724598,49367327.84346287,8359194.008795648,7895440.168626831,809996889.0654031
Zhengzhou,34984167.74309738,425552.91523492365,740479501.3905953,51664400.84004494,8646207.698305706,8165933.229164466,844365752.7659086
Xian,28704163.705021508,348612.76705954294,609557204.7929727,42470505.02477067,7133489.050442144,6737396.545878298,694951360.2399875
Haerbin,43922308.32245242,533435.5861135372,932798683.0751565,64990064.71794529,10916856.710693197,10310696.6469894,1063472052.7829238
Urumqi,16434013.946654806,198068.04216269974,354666138.8647038,24543691.607011262,4195776.813531691,3963236.7265606755,404000928.09392226
Beijing,71386224.74691702,885904.3459004606,1445925247.4414134,102809741.74878193,16363486.426721279,15449529.564871863,1652820106.0115917
Changsha,21492022.115530588,240535.1496720823,532389062.44524693,34852076.64723413,6835732.161584631,6461993.219748295,602271406.0717404
Hohhot,16639223.854727924,189518.71012017323,399954323.73180383,26491580.5359715,5051825.826229357,4774890.480873382,453101360.5749661
Ningbo,30366799.823915064,353325.529805766,702295431.6573864,47237668.06711003,8676279.964691035,8198916.754816598,797128397.233192
Shanghai,53262117.321506046,663081.3965425633,1071023138.348363,76394268.26352306,12055600.38057533,11381600.645988008,1224779782.9665687
Guiyang,9697508.545741156,78348.56947236048,352127619.542253,20221269.02235804,5285435.959987873,5003155.677752879,392413325.8794966
Changchun,27322341.315515205,337448.80142452155,559420811.1132063,39590713.54867438,6381121.934369616,6025210.686557576,639077642.4303848
Foshan,22313369.111867286,263418.6829455811,501926988.5875115,34142905.11881652,6097636.433929387,5761213.414244706,570505520.7789751
Lhasa,9905519.247343631,122949.69913124778,200562328.26509625,14262877.506954089,2269139.2365942653,2142392.478209562,229265213.79627582
Nanning,12005494.114714641,99047.19725899305,428330979.5740831,24728488.051111452,6393826.9019333795,6052086.46578875,477609920.0073589
Quanzhou,16160546.184668561,167862.3610073599,448528111.6020503,28143005.780544873,6088191.775956214,5758208.545713522,504845914.94809324
Hangzhou,48643133.681770176,612647.8855966439,951917459.9604547,68715715.57672046,10494309.177451283,9905395.703179954,1090288640.5422778
Dalian,29706333.48368699,367112.1536593972,607451375.4243515,43013799.60730406,6922533.026023346,6536361.5870204875,693997510.2326927
Tianjin,47413659.331286825,551834.541874966,1095916144.4002967,73730190.44952548,13534568.153404249,12789866.42449229,1243936257.0195477
Nanjing,23606064.35842849,263453.4241781157,587509346.7588347,38390836.00237252,7562257.277726186,7148957.852397821,664480903.5266055
Suzhou,36906727.646981955,394332.172910125,983663020.6178277,62638127.00897414,13104106.052129544,12391795.368839463,1109098076.516161
Fuzhou,37586872.648169845,489037.59352839435,677523365.0646017,50765895.32811507,6967648.159855585,6571526.6684898455,779904339.0705259
Xining,6892610.670795737,78987.62351502347,163892841.71872988,10902182.49350129,2057577.5024987846,1944670.438142321,185768873.09117022
Chongqing,89024882.34594466,953181.8654003422,2365279881.2917757,150792915.32468686,31462220.43381158,29751598.039406307,2667264648.428958
Wenzhou,23073325.189710464,275715.1676408634,506695418.5855531,34810577.56440521,6062866.666350038,5727499.074999711,576645399.6557374
Shenyang,24050879.97767013,278107.7625307028,562657648.8214469,37671166.34800297,6998202.510416473,6613595.515210959,638269604.3740135
Luoyang,14474727.298376273,144816.42628563198,422268391.1422325,26031925.592746127,5856878.066804991,5540460.928866584,474317198.9388731
Chengdu,45677821.75669216,545383.9084983801,1004823213.9175314,68983286.96303177,12036530.145141462,11370859.01352739,1143437068.2041585
Haikou,5944446.282725489,74967.36104722798,115960491.6659503,8382603.582302347,1275205.674179921,1203611.6958383387,132841323.63318218
Wuxi,17951698.337042924,212119.6173216343,403143560.9901285,27441975.572134957,4892534.41157613,4622548.868214817,458264422.0562521
Qingdao,36960629.74101179,418015.68194728513,899372972.0592867,59285755.36104699,11437102.762440717,10810808.742120937,1018285271.1311518
Yinchuan,10687126.100002443,121837.31505070002,256470426.03728002,16998506.441329427,3236564.849813088,3059113.5162750063,290573570.62604535
Nanyang,15255908.370308273,140174.4653119362,491252903.2530796,29292601.87855501,7081568.188064527,6701163.469797963,549724320.899421
Jinan,27513003.813671984,314576.25189580093,656855386.015673,43624326.45228368,8265287.37079461,7811907.381752761,744384482.5020105
Linyi,46604494.32275363,584214.3235977417,922216198.8020781,66245322.79706058,10254987.1880887,9680402.382402806,1055585610.5148115
Nanchang,19623935.05708383,233861.79183309237,433323299.6638011,29702014.22188407,5203243.847346926,4915599.800796974,493001950.83837897
Handan,37263563.528862,485762.97714319295,668202328.5712214,50188880.07526599,6839012.487993865,6449837.788203906,769429379.2300559
Hefei,24989746.25055289,268845.74066358217,659210473.2852978,42138111.37505164,8738460.424430422,8263085.803594023,743608715.3179879
Zhoukou,14109783.238708377,147372.58966649228,388594072.12965614,24450509.709683776,5256281.0956289135,4971232.173651646,437529246.1982112
Shenzhen,20029333.956475567,242382.70650812556,428600300.38116896,29766268.035958752,5041771.878129798,4762072.900378024,488442115.1416532
Lanzhou,18613885.133634668,229859.44218660693,381229963.3624048,26976508.731437236,4349495.234246474,4106910.7345894855,435506624.68581074
Taiyuan,9235862.590590062,82728.34059786912,305297991.45465094,18050795.97113722,4442448.697484902,4204139.110383842,341313958.23086584
Tangshan,27558103.720692534,310685.4399480444,674259212.2572967,44351729.55332545,8599974.526088655,8129268.891155622,763208958.182875
Guangzhou,35804304.76632245,435836.2111237993,756676812.4785441,52828890.69677398,8826047.503970325,8335694.530115133,862907584.8857565
Shijiazhuang,45049178.89821144,581876.7442593974,827754476.7960476,61476150.764397815,8660150.0402327,8169414.753789844,951691236.8813225
Wuhan,26656933.698886238,300833.31271914224,651082122.0550611,42856071.90881312,8296552.251116788,7842387.759335105,737034893.1925831
Kunming,25014061.135751408,283486.1786294986,606536966.0604534,40037331.84717308,7698321.504262777,7276638.367120452,686846790.5454342
Xiamen,8754677.45232914,99562.51381286347,210999544.0973928,13961154.973535493,2669113.725712016,2522831.4699005466,239006875.5516814
Baoding,33603743.55736579,388100.0434988512,787834467.5266432,52701900.55450854,9811139.114869175,9272049.190043192,893611407.209074
Weifang,41791847.159863114,489001.91147874406,956391402.8133129,64603111.861206174,11741312.655883085,11094633.035086997,1086111283.3940666
