line,length,Cement,Steel,Total
10号线,70072.05614796592,1288274.0515597921,7988.214400868115,1296262.9666812217
13号线,49626.795749381614,912388.1435844236,5657.454715429504,918046.0945678104
14号线东段,35240.7868582159,647901.5139804307,4017.4497018366123,651919.316090136
14号线西段,13278.648367700895,244127.8174536973,1513.765913917902,245641.71615409883
15号线,50187.94031769324,922704.7808613871,5721.425196217029,928426.7079370072
16号线,24512.007160861118,450653.0065323601,2794.3688163381676,453447.62046876986
1号线,39393.732055845736,724253.3699094034,4490.885454366414,728744.6493010903
2号线,26616.441278955775,489343.0067491892,3034.2743058009587,492377.5472194029
4号线大兴线,61043.751152455974,1122288.7545003917,6958.9876313799805,1129248.352569283
5号线,34850.29657247119,640722.3539819171,3972.9338092617154,644695.6362941446
6号线,67002.8558360101,1231846.8345164873,7638.325565305152,1239485.8301103509
7号线,47098.41833875647,865903.9501738544,5369.219690618237,871273.640848656
8号线,33508.698965749565,616057.0953983162,3819.9916820954504,619877.4221674012
8号线南段,20776.607551175046,381977.7220622777,2368.5332608339554,384346.4630891872
9号线,19951.505203339057,366808.22364833654,2274.4715931806522,369082.8947565692
S1线,9812.23639821573,180397.86805883222,1118.5949493965932,181516.5611305928
亦庄线,27610.63151307555,507621.1842615789,3147.611992490613,510769.07236038457
八通线,25645.75026188991,471496.8621073434,2923.6155298554495,474420.7340947014
大兴国际机场线,48953.01288636827,900000.6523857518,5580.643469045983,905581.7853849266
房山线,31317.81049764975,575777.6328211857,3570.2303967320713,579348.1763960227
昌平线,37865.67633304266,696160.0807262261,4316.687101966863,700477.1464849561
燕房线,16194.464870469825,297735.07469893905,1846.16899523356,299581.4056388213
西郊线,10882.829410618167,200080.70988592092,1240.642552810471,201321.46126702547
首都机场线,31267.0694643378,574844.7594311559,3564.4459189345093,578409.518020785
