station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
金安桥,116.16316699999999,39.92362,1,S1线,1,0,POINT (12930534.0087579 4854656.825876687),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四道桥,116.13401,39.91603,0,S1线,1,0,POINT (12927280.11430164 4853548.305713308),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桥户营,116.125809,39.912383,0,S1线,1,0,POINT (12926365.41291231 4853017.602318597),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上岸,116.122225,39.905138,0,S1线,1,0,POINT (12925965.84705869 4851965.723057471),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
栗园庄,116.123254,39.89578,0,S1线,1,0,POINT (12926080.72264446 4850608.053874975),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小园,116.114443,39.890465,0,S1线,1,0,POINT (12925098.4722937 4849835.89263742),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石厂,116.100334,39.889378,0,S1线,1,0,POINT (12923526.39833532 4849677.425696275),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
苹果园,116.177388,39.926727,0,1号线,1,0,POINT (12932121.51025506 4855111.658802296),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古城,116.19033700000001,39.90745,0,1号线,1,0,POINT (12933567.20642402 4852317.349529915),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八角游乐园,116.21268400000001,39.907441999999996,0,1号线,1,0,POINT (12936060.71817639 4852321.152046977),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八宝山,116.235948,39.90744,0,1号线,1,0,POINT (12938654.36513498 4852323.904568383),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
玉泉路,116.25288799999998,39.907433000000005,0,1号线,1,0,POINT (12940541.17012669 4852323.34988565),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五棵松,116.273987,39.907455999999996,0,1号线,1,0,POINT (12942888.98668485 4852325.087327841),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万寿路,116.29476499999998,39.907474,0,1号线,1,0,POINT (12945198.92720286 4852324.024990702),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
公主坟,116.309919,39.907469,1,1号线,1,0,POINT (12946882.62254934 4852319.647057403),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
军事博物馆,116.321459,39.907422,1,1号线,1,0,POINT (12948164.43307128 4852309.719687857),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
木樨地,116.33758300000001,39.907379,0,1号线,1,0,POINT (12949955.24786371 4852299.009916385),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南礼士路,116.35258300000001,39.907234,0,1号线,1,0,POINT (12951621.42801082 4852274.052115618),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
复兴门,116.356866,39.907242,1,1号线,1,0,POINT (12952097.26710586 4852274.191990908),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西单,116.374072,39.907383,1,1号线,1,0,POINT (12954009.47692074 4852291.219572537),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天安门西,116.391278,39.907472,0,1号线,1,0,POINT (12955923.03626144 4852302.108228839),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天安门东,116.40121599999999,39.907779999999995,0,1号线,1,0,POINT (12957029.03511207 4852346.410910818),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王府井,116.411571,39.908069,0,1号线,1,0,POINT (12958182.08430083 4852388.603913993),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东单,116.41848,39.908325,1,1号线,1,0,POINT (12958951.78920697 4852426.311106396),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
建国门,116.435806,39.908501,1,1号线,1,0,POINT (12960883.32986622 4852454.606554192),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
永安里,116.450497,39.908454,0,1号线,1,0,POINT (12962522.49315297 4852451.547227641),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国贸,116.46184099999999,39.909104,1,1号线,1,0,POINT (12963788.9452391 4852549.549703135),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大望路,116.475783,39.908287,1,1号线,1,0,POINT (12965346.15711591 4852436.242112036),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四惠,116.495456,39.908749,1,1号线,1,0,POINT (12967544.24937834 4852511.554522421),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四惠东,116.51566399999999,39.908495,1,1号线,1,0,POINT (12969802.26224197 4852483.40039706),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
积水潭,116.373126,39.948653,0,2号线,1,1,POINT (12953903.72583892 4858281.941830062),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鼓楼大街,116.393776,39.948972,1,2号线,1,1,POINT (12956200.39510972 4858325.921499262),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安定门,116.40823999999999,39.94918,0,2号线,1,1,POINT (12957810.51253311 4858355.984247277),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
雍和宫,116.417069,39.949335999999995,1,2号线,1,1,POINT (12958793.987634 4858379.212540815),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东直门,116.435842,39.941626,1,2号线,1,1,POINT (12960886.87626702 4857262.680805778),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东四十条,116.434133,39.933801,0,2号线,1,1,POINT (12960696.38210599 4856126.320944102),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝阳门,116.43458400000002,39.924499,1,2号线,1,1,POINT (12960746.81223875 4854776.154283092),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
建国门,116.435806,39.908501,1,2号线,1,1,POINT (12960883.32986622 4852454.606554192),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北京站,116.427287,39.904983,0,2号线,1,1,POINT (12959933.43083624 4851942.516207659),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
崇文门,116.417093,39.901063,1,2号线,1,1,POINT (12958797.34694871 4851372.417342935),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
前门,116.39793700000001,39.900192,0,2号线,1,1,POINT (12956664.15666089 4851245.423253465),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
和平门,116.38420900000001,39.900098,0,2号线,1,1,POINT (12955136.7758511 4851232.751299809),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宣武门,116.37431399999998,39.899765,1,2号线,1,1,POINT (12954036.48843272 4851185.784173906),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长椿街,116.363355,39.899433,0,2号线,1,1,POINT (12952818.40987006 4851139.652158035),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
复兴门,116.356866,39.907242,1,2号线,1,1,POINT (12952097.26710586 4852274.191990908),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
阜成门,116.35600900000001,39.923686,0,2号线,1,1,POINT (12952001.81858019 4854660.888521803),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
车公庄,116.35435700000001,39.932396999999995,1,2号线,1,1,POINT (12951818.1572939 4855925.730766501),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西直门,116.355426,39.940474,1,2号线,1,1,POINT (12951936.80891548 4857098.04269263),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天宫院,116.31993200000001,39.670342,0,4号线大兴线,1,0,POINT (12947998.12769405 4817968.06832246),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
生物医药基地,116.32166200000002,39.68651,0,4号线大兴线,1,0,POINT (12948190.05359368 4820305.682699305),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
义和庄,116.319079,39.712387,0,4号线大兴线,1,0,POINT (12947902.80261007 4824049.721757248),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄村火车站,116.33261100000001,39.722966,0,4号线大兴线,1,0,POINT (12949405.60472709 4825576.746788937),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄村西大街,116.332631,39.731769,0,4号线大兴线,1,0,POINT (12949407.70355046 4826850.712253861),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
清源路,116.33251299999999,39.742724,0,4号线大兴线,1,0,POINT (12949394.4453898 4828436.391644466),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
枣园,116.332204,39.753458,0,4号线大兴线,1,0,POINT (12949359.97685162 4829990.391799378),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高米店南,116.33160500000001,39.763489,0,4号线大兴线,1,0,POINT (12949293.3093237 4831442.930736221),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高米店北,116.33078700000002,39.773547,0,4号线大兴线,1,0,POINT (12949202.31835759 4832899.661391334),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西红门,116.32868899999998,39.7898,0,4号线大兴线,1,0,POINT (12948969.07874008 4835254.316979248),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新宫,116.365549,39.812591999999995,0,4号线大兴线,1,0,POINT (12953063.45707135 4838547.197355895),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
公益西桥,116.370796,39.836135,0,4号线大兴线,1,0,POINT (12953646.30968212 4841958.343817607),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
角门西,116.371154,39.84585,1,4号线大兴线,1,0,POINT (12953685.96712904 4843366.647335039),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
马家堡,116.37136100000001,39.853109,0,4号线大兴线,1,0,POINT (12953708.87459331 4844419.069166431),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北京南站,116.37896299999998,39.865029,1,4号线大兴线,1,0,POINT (12954553.87321553 4846146.363438565),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陶然亭,116.37438300000001,39.87847,0,4号线大兴线,1,0,POINT (12954044.46066146 4848096.461473458),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
菜市口,116.374425,39.889296,1,4号线大兴线,1,0,POINT (12954048.9767936 4849666.884054509),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宣武门,116.37431399999998,39.899765,1,4号线大兴线,1,0,POINT (12954036.48843272 4851185.784173906),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西单,116.374072,39.907383,1,4号线大兴线,1,0,POINT (12954009.47692074 4852291.219572537),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
灵境胡同,116.373746,39.915912,0,4号线大兴线,1,0,POINT (12953973.11444435 4853529.005588929),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西四,116.373332,39.924206,0,4号线大兴线,1,0,POINT (12953926.97293405 4854732.852665577),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
平安里,116.372883,39.933949,1,4号线大兴线,1,0,POINT (12953876.92082054 4856147.199811279),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新街口,116.36774199999999,39.940667,0,4号线大兴线,1,0,POINT (12953305.37821206 4857123.413123554),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西直门,116.355426,39.940474,1,4号线大兴线,1,0,POINT (12951936.80891548 4857098.04269263),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
动物园,116.339031,39.93825,0,4号线大兴线,1,0,POINT (12950115.6406721 4856779.370653019),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国家图书馆,116.32518999999999,39.943114,1,4号线大兴线,1,0,POINT (12948578.32114772 4857489.371462301),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
魏公村,116.32321999999999,39.957904,0,4号线大兴线,1,0,POINT (12948359.31497078 4859637.479779419),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民大学,116.321367,39.966956,0,4号线大兴线,1,0,POINT (12948153.38142633 4860952.604760942),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海淀黄庄,116.31756399999999,39.975996,1,4号线大兴线,1,0,POINT (12947730.85734201 4862266.691345117),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中关村,116.31646699999999,39.983990999999996,0,4号线大兴线,1,0,POINT (12947608.89874811 4863428.392066753),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北京大学东门,116.31584199999999,39.992212,0,4号线大兴线,1,0,POINT (12947539.36245721 4864622.934698496),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
圆明园,116.31018600000002,39.999662,0,4号线大兴线,1,0,POINT (12946910.99456236 4865706.922093541),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西苑,116.290908,39.998258,1,4号线大兴线,1,0,POINT (12944769.01074928 4865507.455940211),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北宫门,116.277647,40.002373,0,4号线大兴线,1,0,POINT (12943294.70264581 4866107.755389131),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
