station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
北环城路,125.324223,43.947848,1,1号线,1,0,POINT (13950301.8737252 5457007.446405258),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
庆丰路,125.32418799999999,43.93716,0,1号线,1,0,POINT (13950298.1781985 5455354.138548186),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
一匡街,125.32421000000001,43.925303,0,1号线,1,0,POINT (13950300.83111819 5453520.336415417),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长春站北,125.324183,43.914054,1,1号线,1,0,POINT (13950298.03345726 5451780.926829275),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长春站,125.32200800000001,43.9093,1,1号线,1,0,POINT (13950056.66179964 5451046.565932035),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
胜利公园,125.324329,43.899969,0,1号线,1,0,POINT (13950314.49139682 5449603.414097092),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民广场,125.324652,43.888644,0,1号线,1,0,POINT (13950350.54971018 5447852.914741061),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
解放大路,125.324882,43.878239,1,1号线,1,0,POINT (13950376.26734114 5446244.94121659),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东北师大,125.32518600000002,43.864052,0,1号线,1,0,POINT (13950410.26691938 5444052.972926716),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
工农广场,125.32546299999998,43.850834000000006,0,1号线,1,0,POINT (13950441.25183294 5442011.208254363),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
繁荣路,125.325708,43.84107,0,1号线,1,0,POINT (13950468.62306422 5440503.267496795),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卫星广场,125.325828,43.832692,1,1号线,1,0,POINT (13950482.09297665 5439209.610350924),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市政府,125.32595400000001,43.81879,0,1号线,1,0,POINT (13950496.32660545 5437063.425058292),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华庆路,125.327083,43.800121999999995,0,1号线,1,0,POINT (13950621.99139562 5434182.003866789),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
红嘴子,125.327441,43.790473999999996,0,1号线,1,0,POINT (13950661.90490713 5432693.263835537),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双丰,125.185602,43.867421,0,2号线,1,0,POINT (13934878.48038881 5444577.101842691),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长春西站,125.20113700000002,43.87657,0,2号线,1,0,POINT (13936611.21858449 5445994.67912256),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兴隆堡,125.224131,43.883821999999995,0,2号线,1,0,POINT (13939174.55184327 5447119.728660277),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西环城路,125.24038700000001,43.884055,0,2号线,1,0,POINT (13940985.31769916 5447157.315333158),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
和平大街,125.25452800000001,43.884187,0,2号线,1,0,POINT (13942559.30737074 5447177.866283158),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万福街,125.265774,43.884307,0,2号线,1,0,POINT (13943810.25924345 5447195.702608702),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
景阳广场,125.276182,43.882633,0,2号线,1,0,POINT (13944967.42100579 5446935.734390607),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
解放桥,125.28733000000001,43.876606,0,2号线,1,0,POINT (13946206.34590764 5446002.452464875),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
建设广场,125.29736100000001,43.877855,0,2号线,1,0,POINT (13947320.57694891 5446193.203462542),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文化广场,125.306497,43.87793,0,2号线,1,0,POINT (13948335.12500381 5446202.451211362),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
解放大路,125.324882,43.878239,1,2号线,1,0,POINT (13950376.26734114 5446244.94121659),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
平阳街,125.33375500000001,43.878343,0,2号线,1,0,POINT (13951361.29681959 5446258.382046056),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南关,125.345395,43.880757,0,2号线,1,0,POINT (13952653.57821008 5446628.04306148),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吉林大路,125.36433000000001,43.8813,1,2号线,1,0,POINT (13954756.54965722 5446707.17776862),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东盛大街,125.376719,43.882324,0,2号线,1,0,POINT (13956133.28977367 5446863.054778143),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东环城路,125.39442199999999,43.882469,0,2号线,1,0,POINT (13958102.06700538 5446883.535224966),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长青,125.40991899999999,43.882369,0,2号线,1,0,POINT (13959827.2006222 5446868.037561293),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东方广场,125.42577299999999,43.881859999999996,0,2号线,1,0,POINT (13961593.83427141 5446791.046124158),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长春站,125.32200800000001,43.9093,1,3号线,1,0,POINT (13950056.66179964 5451046.565932035),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
辽宁路,125.314756,43.909214,0,3号线,1,0,POINT (13949251.56191681 5451035.380350146),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西安桥,125.300408,43.895069,0,3号线,1,0,POINT (13947658.66850057 5448852.705573142),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南昌路,125.297275,43.890639,0,3号线,1,0,POINT (13947310.80061917 5448168.790482285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝阳桥,125.29294499999999,43.884733000000004,0,3号线,1,0,POINT (13946829.9683835 5447257.06964754),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
解放桥,125.28733000000001,43.876606,0,3号线,1,0,POINT (13946206.34590764 5446002.452464875),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湖西桥,125.282278,43.86949,0,3号线,1,0,POINT (13945645.13775689 5444903.96831743),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宽平桥,125.274103,43.862603,0,3号线,1,0,POINT (13944736.67834771 5443841.336686444),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
抚松路,125.26833799999999,43.857929,0,3号线,1,0,POINT (13944095.8311316 5443120.06111809),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
孟家屯,125.261858,43.851164000000004,0,3号线,1,0,POINT (13943375.31955718 5442075.764392953),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湖光路,125.26656499999999,43.844415999999995,0,3号线,1,0,POINT (13943898.91731321 5441033.221373177),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
电台街,125.278424,43.833172,0,3号线,1,0,POINT (13945217.47432567 5439295.45587821),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
前进西,125.286928,43.832209999999996,0,3号线,1,0,POINT (13946162.46130823 5439145.381442948),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
前进大街,125.29338899999999,43.832251,0,3号线,1,0,POINT (13946880.20807783 5439150.325494284),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卫明街,125.30281599999999,43.832443,0,3号线,1,0,POINT (13947927.17940153 5439177.669953992),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卫光街,125.315498,43.832609999999995,0,3号线,1,0,POINT (13949335.2933059 5439199.973182094),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卫星广场,125.325828,43.832692,1,3号线,1,0,POINT (13950482.09297665 5439209.610350924),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
亚泰立交桥,125.33941999999999,43.832594,0,3号线,1,0,POINT (13951991.03729181 5439190.478270653),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
伊通河,125.350101,43.832951,0,3号线,1,0,POINT (13953176.98808524 5439242.615452516),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
职业学院,125.366424,43.833026000000004,1,3号线,1,0,POINT (13954990.06296784 5439250.263381066),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吉林广电,125.37958799999998,43.833290000000005,0,3号线,1,0,POINT (13956453.10849411 5439288.679843717),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,125.390878,43.833403999999994,0,3号线,1,0,POINT (13957708.65808814 5439305.02541997),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世纪广场,125.402731,43.836560999999996,0,3号线,1,0,POINT (13959027.64649202 5439792.012493744),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金鑫街,125.42106399999999,43.834456,0,3号线,1,0,POINT (13961069.77161085 5439468.162039528),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
博硕路,125.42924599999999,43.829772999999996,0,3号线,1,0,POINT (13961982.00439853 5438746.405509016),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金河街,125.439225,43.821796,0,3号线,1,0,POINT (13963095.24988532 5437517.094974409),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
农博园,125.444902,43.814396,0,3号线,1,0,POINT (13963728.90913278 5436376.366099973),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
净月潭公园,125.450897,43.803659,0,3号线,1,0,POINT (13964398.32732916 5434721.104569471),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
紫杉路,125.44035600000001,43.792804,0,3号线,1,0,POINT (13963221.96571702 5433043.134264668),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宝相街,125.44025400000001,43.785152000000004,0,3号线,1,0,POINT (13963210.72062974 5431862.578803458),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滑雪场,125.44954399999999,43.776619000000004,0,3号线,1,0,POINT (13964247.75371674 5430548.938455156),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长影世纪城,125.450379,43.771809000000005,0,3号线,1,0,POINT (13964341.06092295 5429807.317442805),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天工路,125.36636399999999,43.795728999999994,0,4号线,1,0,POINT (13954984.06293928 5433493.632530916),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宜盛街,125.36578200000001,43.807269,0,4号线,1,0,POINT (13954919.19312707 5435274.506472612),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南环城路,125.365602,43.817469,0,4号线,1,0,POINT (13954899.01213491 5436848.818986997),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世荣路,125.365444,43.82528,0,4号线,1,0,POINT (13954881.31818676 5438054.597351904),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
职业学院,125.366424,43.833026000000004,1,4号线,1,0,POINT (13954990.06296784 5439250.263381066),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北海路,125.365017,43.841999,0,4号线,1,0,POINT (13954833.57861736 5440636.07001426),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
威海路,125.36494099999999,43.850712,0,4号线,1,0,POINT (13954824.97907112 5441981.655076693),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
浦东路,125.36481599999999,43.857058,0,4号线,1,0,POINT (13954810.97793902 5442961.838028328),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海口路,125.364668,43.863828999999996,0,4号线,1,0,POINT (13954794.41394797 5444007.787683056),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
公平路,125.36446699999999,43.872059,0,4号线,1,0,POINT (13954771.93565821 5445279.286624146),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
