station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
开福区政府,112.98541200000001,28.262048999999998,0,1号线,1,0,POINT (12576855.87754688 3282481.5981212),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
马厂,112.98870600000001,28.251248999999998,0,1号线,1,0,POINT (12577221.32132128 3281115.467430733),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北辰三角洲,112.983575,28.236228000000004,0,1号线,1,0,POINT (12576652.35580928 3279219.243514508),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
开福寺,112.979552,28.222438,0,1号线,1,0,POINT (12576206.24153972 3277478.33922365),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文昌阁,112.978199,28.212711,0,1号线,1,0,POINT (12576056.2442885 3276249.93397722),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
培元桥,112.976453,28.206184999999998,0,1号线,1,0,POINT (12575862.61798397 3275426.129025967),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五一广场,112.97643300000001,28.195317,1,1号线,1,0,POINT (12575860.49639152 3274053.284442855),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄兴广场,112.976431,28.189421000000003,0,1号线,1,0,POINT (12575860.32716389 3273308.551606862),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南门口,112.97619499999999,28.183482,0,1号线,1,0,POINT (12575834.2000006 3272558.507608056),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
侯家塘,112.98213700000001,28.173771000000002,0,1号线,1,0,POINT (12576493.41316373 3271329.894130545),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南湖路,112.98559399999999,28.166068,0,1号线,1,0,POINT (12576876.92502777 3270355.821722815),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄土岭,112.98550300000001,28.160534000000002,1,1号线,1,0,POINT (12576866.88128574 3269657.018536858),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
涂家冲,112.984784,28.153165,0,1号线,1,0,POINT (12576787.1987493 3268726.774723462),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁道学院,112.987321,28.136157,0,1号线,1,0,POINT (12577068.74117264 3266578.387629861),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
友谊路,112.986898,28.123626,0,1号线,1,0,POINT (12577021.93701302 3264996.574022744),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
省政府·清风,112.98751200000001,28.111178000000002,0,1号线,1,0,POINT (12577090.14895459 3263425.018888425),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桂花坪,112.98832900000001,28.09923,0,1号线,1,0,POINT (12577180.87106368 3261916.661263697),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大托,112.989189,28.082555,0,1号线,1,0,POINT (12577276.40382602 3259811.915965888),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中信广场,112.989731,28.073694,0,1号线,1,0,POINT (12577336.59654219 3258693.558196503),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
尚双塘,112.992268,28.0619,0,1号线,1,0,POINT (12577618.07839193 3257204.468604881),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
梅溪湖西,112.881887,28.185907,0,2号线,1,0,POINT (12565352.66547553 3272878.39795815),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
麓云路,112.892059,28.19084,0,2号线,1,0,POINT (12566485.39960339 3273502.26571773),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文化艺术中心,112.900472,28.196690000000004,0,2号线,1,0,POINT (12567421.83668591 3274241.449998127),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
梅溪湖东,112.90818300000001,28.201674,0,2号线,1,0,POINT (12568279.79896241 3274870.913648162),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
望城坡,112.91370400000001,28.207479,0,2号线,1,0,POINT (12568893.86671532 3275603.943638411),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金星路,112.92860300000001,28.206046999999998,0,2号线,1,0,POINT (12570550.28340106 3275421.40968081),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西湖公园,112.939929,28.202632,0,2号线,1,0,POINT (12571808.67170351 3274987.949072118),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
溁湾镇,112.95143600000002,28.197614,1,2号线,1,0,POINT (12573086.52048851 3274351.311566299),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
橘子洲,112.96252,28.195601,0,2号线,1,0,POINT (12574316.81769928 3274093.817182852),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湘江中路,112.969365,28.195218,0,2号线,1,0,POINT (12575076.36089594 3274043.220078518),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
