line,length,Cement,Steel,Total
10号线,37025.97124237975,680722.1110314393,4220.960721631292,684943.4420127829
1号线,47560.55714845103,874400.3675687008,5421.903514923417,879822.7466891956
2号线,33106.819805535466,608668.5510565715,3774.1774578310433,612443.0595826006
3号线,59162.14510546039,1087695.4461424383,6744.484542022485,1094440.5223059119
3号线北延伸段,11511.776378064767,211643.893592957,1312.3425070993835,212956.35121782013
4号线,16213.233885639485,298080.1428551431,1848.3086629629015,299928.61365044484
5号线,16758.103021480307,308097.5564688852,1910.4237444487549,310008.1477943642
6号线,65550.61446909035,1205147.3915080815,7472.770049476299,1212620.8170637023
6号线支线(国博线),12265.18572914473,225495.3169784686,1398.2311731224993,226893.6708034484
环线,46641.375037259255,857501.2136462611,5317.116754247556,862818.7968142589
