station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
小什字,106.583593,29.560028000000003,1,1号线,1,0,POINT (11864421.00875573 3447490.130317462),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
较场口,106.574352,29.553575,1,1号线,1,0,POINT (11863391.91382983 3446663.60388812),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
七星岗,106.563142,29.554871000000002,0,1号线,1,0,POINT (11862142.83275009 3446827.551330535),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
两路口,106.549342,29.552621000000002,1,1号线,1,0,POINT (11860604.26345855 3446536.538118183),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鹅岭,106.533923,29.547985999999998,0,1号线,1,0,POINT (11858884.16969837 3445939.055396184),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大坪,106.51918400000001,29.541885999999998,1,1号线,1,0,POINT (11857239.17124186 3445153.663031918),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石油路,106.50830800000001,29.538109999999996,0,1号线,1,0,POINT (11856025.00161159 3444666.6144755),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
歇台子,106.49835300000001,29.53548,0,1号线,1,0,POINT (11854913.5386798 3444326.409277149),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石桥铺,106.48489099999999,29.532771,0,1号线,1,0,POINT (11853410.5472271 3443974.810866533),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高庙村,106.46921100000002,29.536409000000003,0,1号线,1,0,POINT (11851660.22818457 3444434.519867037),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
马家岩,106.468033,29.544984000000003,0,1号线,1,0,POINT (11851528.69986293 3445530.933255197),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小龙坎,106.468325,29.553658000000002,0,1号线,1,0,POINT (11851561.22918035 3446640.606374575),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙坪坝,106.460425,29.556003000000004,1,1号线,1,0,POINT (11850679.64665391 3446938.072756676),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
杨公桥,106.450227,29.561544,0,1号线,1,0,POINT (11849541.95553482 3447644.05352331),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
烈士墓,106.44543700000001,29.567434000000002,0,1号线,1,0,POINT (11849007.71517282 3448396.427526505),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
磁器口,106.44641999999999,29.576719,0,1号线,1,0,POINT (11849117.27112611 3449584.700175941),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石井坡,106.44428300000001,29.589415000000002,0,1号线,1,0,POINT (11848878.88205207 3451208.868566687),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双碑,106.44436999999999,29.605775,0,1号线,1,0,POINT (11848888.47116488 3453302.779472967),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
赖家桥,106.381441,29.610284999999998,0,1号线,1,0,POINT (11841881.97595865 3453876.239460641),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
微电园,106.362894,29.609665000000003,0,1号线,1,0,POINT (11839820.77411339 3453799.64801646),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陈家桥,106.328499,29.607427,0,1号线,1,0,POINT (11836000.81110392 3453520.903317145),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大学城,106.308908,29.60735,0,1号线,1,0,POINT (11833825.22575309 3453515.730964612),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
尖顶坡,106.29296699999999,29.607324,0,1号线,1,0,POINT (11832054.46014176 3453515.723503394),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
璧山,106.232616,29.612253999999997,0,1号线,1,0,POINT (11825341.38171182 3454150.396559758),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
较场口,106.574352,29.553575,1,2号线,1,0,POINT (11863391.91382983 3446663.60388812),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
临江门,106.574228,29.558281,0,2号线,1,0,POINT (11863378.07033635 3447265.623449712),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄花园,106.56483899999999,29.563396,0,2号线,1,0,POINT (11862331.90987344 3447918.512588698),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大溪沟,106.558397,29.566175,0,2号线,1,0,POINT (11861613.84074706 3448272.754531914),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
曾家岩,106.55011100000002,29.566468,0,2号线,1,0,POINT (11860689.93452939 3448308.249874275),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
牛角沱,106.54260500000001,29.560678999999997,1,2号线,1,0,POINT (11859852.76011353 3447565.524336653),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
李子坝,106.53766,29.552892,0,2号线,1,0,POINT (11859301.11983801 3446567.830963325),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
佛图关,106.531503,29.549345000000002,0,2号线,1,0,POINT (11858614.1057273 3446112.099774505),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大坪,106.51918400000001,29.541885999999998,1,2号线,1,0,POINT (11857239.17124186 3445153.663031918),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
袁家岗,106.513742,29.528808,0,2号线,1,0,POINT (11856631.73719224 3443478.969814974),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
