station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
姚家,121.619355,39.023334999999996,0,1号线,1,0,POINT (13538052.62135283 4724893.217349618),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大连北站,121.607795,39.014769,0,1号线,1,0,POINT (13536766.65719312 4723667.767251139),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华北路,121.594002,39.008465,0,1号线,1,0,POINT (13535231.23065852 4722765.487042431),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华南北,121.586203,39.000251,0,1号线,1,0,POINT (13534362.59107448 4721589.205033117),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华南广场,121.58650300000001,38.989534,0,1号线,1,0,POINT (13534396.14915099 4720055.182942015),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
千山路,121.581709,38.979133000000004,0,1号线,1,0,POINT (13533862.08723291 4718566.181143047),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
松江路,121.577949,38.968897999999996,0,1号线,1,0,POINT (13533443.13988753 4717101.131859223),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东纬路,121.580125,38.956306,0,1号线,1,0,POINT (13533685.83597746 4715299.763055911),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
春柳,121.58238999999999,38.935994,0,1号线,1,0,POINT (13533938.51638177 4712394.47607123),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
香工街,121.58878500000002,38.931104,0,1号线,1,0,POINT (13534651.10668138 4711695.594036661),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中长街,121.592008,38.923871999999996,0,1号线,1,0,POINT (13535010.2049612 4710661.504683956),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兴工街,121.588627,38.916854,0,1号线,1,0,POINT (13534633.68249958 4709657.818332846),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西安路,121.587,38.9094,1,1号线,1,0,POINT (13534452.51794131 4708591.945091615),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
富国街,121.584703,38.898792,0,1号线,1,0,POINT (13534196.72233054 4707075.228730532),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,121.58576000000001,38.891444,0,1号线,1,0,POINT (13534314.5865663 4706024.950804517),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
