station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
新城东,113.14000800000001,22.958652999999998,0,广佛线,1,0,POINT (12594080.52146136 2627333.89209694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东平,113.12919,22.965266,0,广佛线,1,0,POINT (12592874.70780638 2628131.298261372),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世纪莲,113.11491699999999,22.965147,0,广佛线,1,0,POINT (12591284.55330542 2628115.266120238),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
澜石,113.10710700000001,22.983985,0,广佛线,1,0,POINT (12590414.69461296 2630391.525854085),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
魁奇路,113.10861200000001,22.993964000000002,0,广佛线,1,0,POINT (12590582.19166811 2631597.796374208),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
季华园,113.108547,23.007104,0,广佛线,1,0,POINT (12590574.854845 2633186.203550442),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
同济路,113.108503,23.019222,0,广佛线,1,0,POINT (12590569.86400267 2634651.205943334),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
祖庙,113.112099,23.027073,0,广佛线,1,0,POINT (12590970.24066789 2635600.646669264),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
普君北路,113.12223999999999,23.027678,0,广佛线,1,0,POINT (12592099.82749151 2635674.754095454),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝安,113.13353700000002,23.027676,0,广佛线,1,0,POINT (12593358.70103068 2635676.089074245),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桂城,113.14143200000001,23.031674,0,广佛线,1,0,POINT (12594238.71767284 2636160.856195827),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南桂路,113.15413899999999,23.034167,0,广佛线,1,0,POINT (12595655.49416909 2636464.845845147),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
礌岗,113.155426,23.042607,0,广佛线,1,0,POINT (12595798.94664794 2637485.669291432),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
千灯湖,113.15535600000001,23.054818,0,广佛线,1,0,POINT (12595791.04879258 2638962.297238696),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金融高新区,113.158548,23.065814000000003,0,广佛线,1,0,POINT (12596146.92361245 2640292.828734935),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙溪,113.19239099999999,23.066029,0,广佛线,1,0,POINT (12599921.195786 2640326.415393219),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
菊树,113.21286299999998,23.065868,0,广佛线,1,0,POINT (12602203.55874317 2640310.727025902),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西塱,113.231978,23.065437,0,广佛线,1,0,POINT (12604333.42975124 2640260.874780633),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鹤洞,113.240153,23.072495,0,广佛线,1,0,POINT (12605243.82082367 2641115.021608474),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙涌,113.246794,23.083043,0,广佛线,1,0,POINT (12605983.13186569 2642391.040058204),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙园,113.26058400000001,23.088625,0,广佛线,1,0,POINT (12607517.80506176 2643066.003161875),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
燕岗,113.271988,23.075142,0,广佛线,1,0,POINT (12608786.455851 2641434.276269363),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石溪,113.285951,23.067937,0,广佛线,1,0,POINT (12610339.01649961 2640561.075571171),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南洲,113.297367,23.064799,0,广佛线,1,0,POINT (12611607.86892279 2640179.602306977),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沥滘,113.31907700000001,23.054898,0,广佛线,1,0,POINT (12614020.08770423 2638977.620959078),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
