station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
象峰,119.32964,26.14343,0,1号线,1,0,POINT (13283173.14890918 3017239.111787248),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
秀山,119.32101599999999,26.133785,0,1号线,1,0,POINT (13282215.06963024 3016044.370195467),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
罗汉山,119.31837,26.126085999999997,0,1号线,1,0,POINT (13281921.14805882 3015089.739694704),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福州火车站,119.318133,26.112978,0,1号线,1,0,POINT (13281894.92589741 3013463.563698772),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
斗门,119.313723,26.103973,0,1号线,1,0,POINT (13281405.00987681 3012347.479565972),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
树兜,119.306675,26.102362,0,1号线,1,0,POINT (13280621.87296609 3012149.198969335),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
屏山,119.29703799999999,26.096256,0,1号线,1,0,POINT (13279550.9382136 3011393.754280438),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东街口,119.29925,26.086006,0,1号线,1,0,POINT (13279796.86856557 3010121.958295289),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南门兜,119.303197,26.07625,1,1号线,1,0,POINT (13280235.59572887 3008911.165215347),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
茶亭,119.304376,26.069167,0,1号线,1,0,POINT (13280366.67518283 3008032.506928422),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
达道,119.309855,26.056982,0,1号线,1,0,POINT (13280975.61381782 3006520.297970926),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上藤,119.32057900000001,26.043708,0,1号线,1,0,POINT (13282167.27346742 3004871.951395386),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三叉街,119.32669299999999,26.034785,0,1号线,1,0,POINT (13282846.64039314 3003764.212999485),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白湖亭,119.33526200000001,26.025916,0,1号线,1,0,POINT (13283798.7736835 3002662.669087334),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
葫芦阵,119.34355,26.017109,0,1号线,1,0,POINT (13284719.74426075 3001569.006955184),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄山,119.34878799999998,26.010176,0,1号线,1,0,POINT (13285301.86223992 3000708.462918206),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
排下,119.35400800000001,26.001603,0,1号线,1,0,POINT (13285882.05225783 2999644.758878784),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
