line,length,Cement,Steel,Total
13号线,26403.549451688097,485428.99263379123,3010.004637492443,488439.2613067781
14号线,55609.335903891035,1022377.0844996778,6339.464293043578,1028717.1048860803
14号线支线(知识城线),21578.858352005012,396727.0950130287,2459.9898521285713,399187.3006537407
1号线,18946.387434344833,348329.1435165554,2159.888167515311,350489.22114794503
21号线,62476.59666473353,1148631.6049151595,7122.332019779623,1155754.5617009057
2号线,33149.805243256094,609458.837899211,3779.0777977311946,613238.2471949945
3号线,33465.25651803562,615258.4064315198,3815.03924305606,619073.7803271409
3号线(北延段),34452.01942038028,633400.0325234974,3927.530213923352,637327.9072576149
4号线,60159.9624784153,1106040.3085660406,6858.235722539343,1112899.1458882047
5号线,33163.67081665323,609713.7563274616,3780.6584730984687,613494.7464372681
6号线,42972.741969015085,790053.4313729227,4898.89258446772,794952.75368481
7号线,18072.370131802138,332260.344149481,2060.2501950254436,334320.77506820776
8号线,17020.77277631419,312926.73728480865,1940.3680964998175,314867.2755890362
9号线,19802.883587142675,364075.8167207822,2257.5287289342646,366333.54347855237
APM线,4262.188779372133,78360.29808686886,485.8895208484231,78846.23022960508
广佛线,39958.89062949786,734643.8046344119,4555.313531762756,739199.517755081
