station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
西塱,113.231978,23.065437,1,1号线,1,0,POINT (12604333.42975124 2640260.874780633),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
坑口,113.23249799999999,23.078878,0,1号线,1,0,POINT (12604391.25008273 2641886.592198303),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
花地湾,113.23403,23.087055,0,1号线,1,0,POINT (12604561.82513567 2642875.789522647),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
芳村,113.235703,23.098592,0,1号线,1,0,POINT (12604748.06856108 2644271.515174731),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄沙,113.239856,23.110523999999998,1,1号线,1,0,POINT (12605210.46578038 2645715.269747866),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长寿路,113.242271,23.118402,0,1号线,1,0,POINT (12605479.31169835 2646668.516801394),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陈家祠,113.246439,23.125726999999998,0,1号线,1,0,POINT (12605943.29387922 2647554.917750653),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西门口,113.25583,23.125219,0,1号线,1,0,POINT (12606988.54548857 2647493.392391766),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
公园前,113.264315,23.125446,1,1号线,1,0,POINT (12607932.61697068 2647520.461081997),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
农讲所,113.275602,23.126623000000002,0,1号线,1,0,POINT (12609187.97179769 2647661.859794377),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
烈士陵园,113.28566299999999,23.126704,0,1号线,1,0,POINT (12610306.56197462 2647670.321331962),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东山口,113.295373,23.12398,1,1号线,1,0,POINT (12611385.82954311 2647339.092000474),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
杨箕,113.308877,23.128137,1,1号线,1,0,POINT (12612886.33665946 2647839.396104981),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
