station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
小孟工业园,106.709631,26.497716999999998,0,1号线,1,0,POINT (11878443.27905432 3061293.88092613),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
清水江路,106.709301,26.507042,0,1号线,1,0,POINT (11878406.56722151 3062454.201652564),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长江路,106.71101200000001,26.517896,0,1号线,1,0,POINT (11878596.55823599 3063804.518945091),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
珠江路,106.710916,26.526197999999997,0,1号线,1,0,POINT (11878585.84410906 3064837.660530296),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
望城坡,106.71227900000001,26.536496000000003,0,1号线,1,0,POINT (11878737.18916625 3066119.035376356),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙冲路,106.70300900000001,26.549737,0,1号线,1,0,POINT (11877707.47519045 3067768.694185153),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
贵阳火车站,106.703395,26.557631,0,1号线,1,0,POINT (11877750.29606872 3068751.200625134),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
河滨公园,106.70783999999999,26.569234,0,1号线,1,0,POINT (11878243.91132555 3070194.728174067),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中山西路,106.70976999999999,26.577099,0,1号线,1,0,POINT (11878458.23817693 3071173.501059505),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
喷水池,106.70984299999999,26.585041999999998,0,1号线,1,0,POINT (11878466.29869206 3072162.367120821),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北京路,106.70628899999998,26.592831,0,1号线,1,0,POINT (11878071.49950048 3073132.760308068),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八鸽岩,106.703101,26.596971999999997,0,1号线,1,0,POINT (11877717.40683447 3073648.953188568),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南垭路,106.70497900000001,26.615794,0,1号线,1,0,POINT (11877925.86483075 3075992.314651318),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
雅关,106.70233,26.636544,0,1号线,1,0,POINT (11877631.54212075 3078576.991700154),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
贵阳北站,106.675334,26.619512,0,1号线,1,0,POINT (11874634.26808218 3076461.804755527),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白鹭湖,106.66173899999998,26.619642,0,1号线,1,0,POINT (11873124.99094875 3076481.213255642),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新寨,106.654321,26.629075,0,1号线,1,0,POINT (11872301.34204849 3077657.663668979),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
阳关,106.65573700000002,26.639058000000002,0,1号线,1,0,POINT (11872458.50241551 3078900.686764752),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国际生态会议中心,106.64856499999999,26.645633,0,1号线,1,0,POINT (11871662.11068998 3079721.195568082),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
观山湖公园,106.63158100000001,26.645087,0,1号线,1,0,POINT (11869775.7333654 3079656.383091751),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
林城西路,106.61748700000001,26.645228000000003,0,1号线,1,0,POINT (11868209.53111272 3079675.806757675),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
阅山湖公园,106.608246,26.645964000000003,0,1号线,1,0,POINT (11867182.11861283 3079768.210652184),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
老湾塘,106.590209,26.648315999999998,0,1号线,1,0,POINT (11865175.46304711 3080061.314664829),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
下麦西,106.57994599999999,26.655046000000002,0,1号线,1,0,POINT (11864032.83580319 3080898.896205678),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
窦官,106.569271,26.653414,0,1号线,1,0,POINT (11862843.75675759 3080694.232084739),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
