station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
新疆大街,126.632979,45.605905,0,1号线,1,0,POINT (14096059.14861253 5717105.091065737),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
渤海路,126.64784499999999,45.615382000000004,0,1号线,1,0,POINT (14097710.0894469 5718609.773226276),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
镜泊路,126.636902,45.632188,0,1号线,1,0,POINT (14096494.48434173 5721287.934958426),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
镜泊路,126.636902,45.632188,0,1号线,1,0,POINT (14096494.48434173 5721287.934958426),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瓦盆窑,126.63346399999999,45.645435,0,1号线,1,0,POINT (14096112.33160198 5723398.135074562),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
同江路,126.62471599999999,45.656247,0,1号线,1,0,POINT (14095140.08789031 5725121.913718916),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈尔滨南站,126.621748,45.669922,0,1号线,1,0,POINT (14094809.9574157 5727300.976412373),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈达,126.61881399999999,45.683208,0,1号线,1,0,POINT (14094483.56281159 5729418.546006085),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
医大二院,126.615695,45.697491,1,1号线,1,0,POINT (14094136.52811562 5731695.54599294),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黑龙江大学,126.613592,45.70697,0,1号线,1,0,POINT (14093902.50688467 5733206.996634676),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
理工大学,126.61186799999999,45.714853000000005,0,1号线,1,0,POINT (14093710.63761109 5734464.140870652),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
学府路,126.60988,45.722457,0,1号线,1,0,POINT (14093489.38922118 5735676.976280052),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
和兴路,126.615449,45.732416,0,1号线,1,0,POINT (14094108.55639818 5737264.885140247),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西大桥,126.62111499999999,45.738848,0,1号线,1,0,POINT (14094738.3738934 5738290.183366712),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈工大,126.627753,45.744564000000004,0,1号线,1,0,POINT (14095476.03063007 5739201.000603074),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁路局,126.63599599999999,45.751513,0,1号线,1,0,POINT (14096391.72698759 5740308.081710224),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
博物馆,126.64379299999999,45.758404999999996,0,1号线,1,0,POINT (14097257.59184097 5741406.032980422),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
医大一院,126.650438,45.764078000000005,0,1号线,1,0,POINT (14097995.35331971 5742309.6707293),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
烟厂,126.65591,45.768727,0,1号线,1,0,POINT (14098602.78655682 5743050.171954297),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
工程大学,126.66806799999999,45.775477,0,1号线,1,0,POINT (14099952.27482698 5744124.053199597),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
太平桥,126.67718500000001,45.783569,0,1号线,1,0,POINT (14100964.09190377 5745413.192813678),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
交通学院,126.687501,45.787766,0,1号线,1,0,POINT (14102109.11593265 5746080.252696411),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桦树街,126.698039,45.788083,0,1号线,1,0,POINT (14103279.04058005 5746127.923462668),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈尔滨东站,126.709138,45.789336,0,1号线,1,0,POINT (14104511.57737888 5746325.271133466),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
医大二院,126.615695,45.697491,1,3号线,1,0,POINT (14094136.52811562 5731695.54599294),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈西大街,126.59686599999999,45.695662,0,3号线,1,0,POINT (14092041.7245249 5731405.122490665),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
凯盛源广场,126.58532,45.701283000000004,0,3号线,1,0,POINT (14090755.82603392 5732300.690291953),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
哈尔滨西站,126.5792,45.706278999999995,0,3号线,1,0,POINT (14090073.79836198 5733096.554447849),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
