station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
湘湖,120.23439099999999,30.167585,0,1号线,1,0,POINT (13383932.04397205 3525425.724072861),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨康路,120.231003,30.183864,1,1号线,1,0,POINT (13383554.18131814 3527521.655608174),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西兴,120.22042900000001,30.187295000000002,0,1号线,1,0,POINT (13382374.96286094 3527962.312400645),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨和路,120.217552,30.19955,0,1号线,1,0,POINT (13382053.93167127 3529540.224393005),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
江陵路,120.21660200000001,30.208994,0,1号线,1,0,POINT (13381947.86874546 3530756.499586227),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
近江,120.197851,30.230790999999996,1,1号线,1,0,POINT (13379855.26167695 3533561.026241927),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
婺江路,120.19100800000001,30.236914000000002,0,1号线,1,0,POINT (13379091.34930581 3534348.420728009),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
城站,120.181104,30.244457,1,1号线,1,0,POINT (13377985.58262782 3535318.017204809),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
定安路,120.167751,30.245953999999998,0,1号线,1,0,POINT (13376494.68155692 3535507.680020275),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙翔桥,120.164052,30.254641999999997,0,1号线,1,0,POINT (13376081.6004707 3536626.320741391),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
凤起路,120.16288700000001,30.263779,1,1号线,1,0,POINT (13375951.44254947 3537803.532293355),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
武林广场,120.164324,30.272368,0,1号线,1,0,POINT (13376111.804092 3538910.839141943),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西湖文化广场,120.16563899999998,30.279584999999997,0,1号线,1,0,POINT (13376258.55837003 3539841.362525944),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
打铁关,120.176592,30.285421000000003,1,1号线,1,0,POINT (13377481.43718234 3540596.274355713),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
闸弄口,120.19249599999999,30.284507,0,1号线,1,0,POINT (13379257.01763746 3540482.180283973),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
火车东站,120.212892,30.291124,1,1号线,1,0,POINT (13381533.21517521 3541339.14019432),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
彭埠,120.223661,30.294065000000003,1,1号线,1,0,POINT (13382734.46247875 3541719.81047835),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
七堡,120.24106499999999,30.300002000000003,0,1号线,1,0,POINT (13384674.73236432 3542486.623604245),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
九和路,120.252784,30.305799,0,1号线,1,0,POINT (13385980.3722017 3543234.15063617),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
九堡,120.266622,30.307909999999996,0,1号线,1,0,POINT (13387521.26134749 3543505.642668386),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
客运中心,120.2787,30.311183000000003,0,1号线,1,0,POINT (13388865.4178705 3543926.322660718),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
下沙西,120.31253400000001,30.309918,0,1号线,1,0,POINT (13392627.98148935 3543756.722743572),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金沙湖,120.32571999999999,30.309246,0,1号线,1,0,POINT (13394093.65525188 3543666.889355128),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高沙路,120.335408,30.309420000000003,0,1号线,1,0,POINT (13395170.45143505 3543686.939226622),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文泽路,120.34843899999998,30.309996,0,1号线,1,0,POINT (13396618.91404006 3543758.12346209),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文海南路,120.37614599999999,30.311208,0,1号线,1,0,POINT (13399700.0007413 3543909.244480121),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
云水,120.38178700000002,30.302893,0,1号线,1,0,POINT (13400327.71735866 3542836.514699327),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
下沙江滨,120.38172,30.287736,0,1号线,1,0,POINT (13400320.40255131 3540882.564878125),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湘湖,120.23439099999999,30.167585,0,1号线,1,0,POINT (13383932.04397205 3525425.724072861),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨康路,120.231003,30.183864,1,1号线,1,0,POINT (13383554.18131814 3527521.655608174),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西兴,120.22042900000001,30.187295000000002,0,1号线,1,0,POINT (13382374.96286094 3527962.312400645),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨和路,120.217552,30.19955,0,1号线,1,0,POINT (13382053.93167127 3529540.224393005),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
江陵路,120.21660200000001,30.208994,0,1号线,1,0,POINT (13381947.86874546 3530756.499586227),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
近江,120.197851,30.230790999999996,1,1号线,1,0,POINT (13379855.26167695 3533561.026241927),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
婺江路,120.19100800000001,30.236914000000002,0,1号线,1,0,POINT (13379091.34930581 3534348.420728009),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
城站,120.181104,30.244457,1,1号线,1,0,POINT (13377985.58262782 3535318.017204809),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
定安路,120.167751,30.245953999999998,0,1号线,1,0,POINT (13376494.68155692 3535507.680020275),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
