station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
九联圩,117.286181,31.691457,0,1号线,1,0,POINT (13055624.4712213 3723134.732953929),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丙子铺,117.297393,31.69145,0,1号线,1,0,POINT (13056870.07019096 3723131.730284897),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万年埠,117.302102,31.698435999999997,0,1号线,1,0,POINT (13057393.03491344 3724044.821201283),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万达城,117.302177,31.705865000000003,0,1号线,1,0,POINT (13057401.28747895 3725016.934296595),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
云谷路,117.302353,31.713224,0,1号线,1,0,POINT (13057420.75834591 3725979.949161001),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金斗公园,117.30263000000001,31.723035999999997,0,1号线,1,0,POINT (13057451.42108237 3727264.088964201),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
塘西河公园,117.302601,31.731507,0,1号线,1,0,POINT (13057448.11187968 3728372.903326917),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
紫庐,117.302627,31.740745,0,1号线,1,0,POINT (13057450.90320301 3729582.227038079),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨湖会展中心,117.30266599999999,31.754639,0,1号线,1,0,POINT (13057455.08973025 3731401.301680245),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高王,117.29142,31.773139,0,1号线,1,0,POINT (13056205.69938812 3733826.166180463),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
骆岗,117.291451,31.783406,0,1号线,1,0,POINT (13056209.03639462 3735170.85357016),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南站南广场,117.2915,31.792642999999998,0,1号线,1,0,POINT (13056214.38380813 3736380.77252659),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
合肥南站,117.29210400000001,31.799187,0,1号线,1,0,POINT (13056281.4166341 3737237.917496648),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
望湖城,117.29203999999999,31.805360999999998,0,1号线,1,0,POINT (13056274.24225428 3738046.776887156),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
葛大店,117.303172,31.814564,0,1号线,1,0,POINT (13057510.66171811 3739250.279151061),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
秋浦河路,117.30198899999999,31.823177,0,1号线,1,0,POINT (13057379.18226917 3740379.129824413),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朱岗,117.30173899999998,31.832155,0,1号线,1,0,POINT (13057351.32176 3741555.722091138),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
合工大南区,117.30071000000001,31.847196000000004,0,1号线,1,0,POINT (13057236.8756399 3743527.288389816),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
包公园,117.30136,31.856274,0,1号线,1,0,POINT (13057308.97483197 3744717.118220067),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大东门,117.30076100000001,31.863957,1,1号线,1,0,POINT (13057242.36458495 3745724.451340074),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
明光路,117.304588,31.869977000000002,0,1号线,1,0,POINT (13057667.34416824 3746512.869040868),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长淮,117.309132,31.875622999999997,0,1号线,1,0,POINT (13058171.92004983 3747252.101888475),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
合肥火车站,117.31558700000001,31.883376000000002,1,1号线,1,0,POINT (13058888.64064948 3748267.167699403),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南岗,117.11565300000001,31.850724,0,2号线,1,0,POINT (13036628.32116832 3743972.589481932),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桂庄,117.12678400000001,31.850724,0,2号线,1,0,POINT (13037868.12442564 3743973.931026343),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汽车西站,117.136078,31.850853000000004,0,2号线,1,0,POINT (13038903.72850966 3743992.368946424),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
振兴路,117.15185,31.851072,0,2号线,1,0,POINT (13040661.8251336 3744024.325885937),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
蜀山西,117.168011,31.851358,0,2号线,1,0,POINT (13042463.82330252 3744065.668417023),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大蜀山,117.186676,31.852178000000002,0,2号线,1,0,POINT (13044545.14943626 3744177.708723926),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天柱路,117.19851100000001,31.854188,0,2号线,1,0,POINT (13045864.64116308 3744443.849551945),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
科学大道,117.20884099999999,31.855940000000004,0,2号线,1,0,POINT (13047016.06396963 3744675.548844836),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
十里庙,117.22321299999999,31.854899,0,2号线,1,0,POINT (13048617.46513481 3744541.298553188),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西七里塘,117.230892,31.852496000000002,1,2号线,1,0,POINT (13049472.77671519 3744227.130085413),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五里墩,117.24114099999998,31.851095,0,2号线,1,0,POINT (13050613.91046519 3744044.165096517),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三里庵,117.25559399999999,31.854585999999998,0,2号线,1,0,POINT (13052222.21587682 3744501.868718783),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安农大,117.26550300000001,31.858171000000002,0,2号线,1,0,POINT (13053324.28195046 3744971.289717737),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三孝口,117.27533999999999,31.861092,0,2号线,1,0,POINT (13054417.90203825 3745353.225872008),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四牌楼,117.289704,31.861667999999998,0,2号线,1,0,POINT (13056014.13096586 3745426.549635006),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大东门,117.30076100000001,31.863957,1,2号线,1,0,POINT (13057242.36458495 3745724.451340074),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三里街,117.313994,31.867597999999997,0,2号线,1,0,POINT (13058711.91570127 3746198.773726794),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东五里井,117.32453400000001,31.867763,0,2号线,1,0,POINT (13059882.26286609 3746217.807940028),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东七里,117.338466,31.867807,0,2号线,1,0,POINT (13061429.23719533 3746220.099418554),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
漕冲,117.35176000000001,31.868068,0,2号线,1,0,POINT (13062905.58228149 3746251.189312162),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东二十埠,117.367157,31.86825,0,2号线,1,0,POINT (13064616.0486847 3746271.970401997),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙岗,117.376461,31.868407,0,2号线,1,0,POINT (13065650.06852608 3746291.107724805),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王岗,117.38981299999999,31.868729,0,2号线,1,0,POINT (13067134.68371172 3746331.941220155),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三十埠,117.39738,31.868958000000003,0,2号线,1,0,POINT (13067976.482427 3746361.591291921),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
幸福坝,117.18069799999999,31.751016999999997,0,3号线,1,0,POINT (13043879.61876553 3730923.433945959),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安大磬苑校区,117.192297,31.759387,0,3号线,1,0,POINT (13045172.84726051 3732022.107588394),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
工大翡翠湖校区,117.20506,31.765338,0,3号线,1,0,POINT (13046595.58903266 3732804.065715374),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大学城北,117.20985300000001,31.775009999999998,0,3号线,1,0,POINT (13047129.68992289 3734071.598631498),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
繁华大道,117.20987,31.781298,0,3号线,1,0,POINT (13047131.51934141 3734895.154755415),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安医大二附院,117.20987099999999,31.7901,0,3号线,1,0,POINT (13047131.53952825 3736048.072735407),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
省博物院,117.21553700000001,31.800890999999996,0,3号线,1,0,POINT (13047762.82869498 3737462.622188012),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
图书馆,117.21551299999999,31.809103999999998,0,3号线,1,0,POINT (13047760.06929002 3738538.626360383),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
