station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
伊利健康谷,111.575004,40.784834000000004,0,1号线,1,0,POINT (12419732.3556825 4980476.345113185),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西二环路,111.592055,40.794695000000004,0,1号线,1,0,POINT (12421631.31973429 4981926.629654318),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
孔家营,111.604646,40.799909,0,1号线,1,0,POINT (12423032.42509106 4982692.654153139),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
呼钢东路,111.61678700000002,40.804968,0,1号线,1,0,POINT (12424382.56000508 4983435.033973735),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西龙王庙,111.631969,40.811302000000005,0,1号线,1,0,POINT (12426069.78457915 4984363.462589201),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
乌兰夫纪念馆,111.64157800000001,40.815389,0,1号线,1,0,POINT (12427137.15384589 4984962.069836003),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
附属医院,111.65551200000002,40.818872999999996,0,1号线,1,0,POINT (12428684.48238147 4985470.636504539),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新华广场,111.667703,40.821503,0,1号线,1,0,POINT (12430037.98320327 4985853.831468839),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民会堂,111.67624099999999,40.823344,0,1号线,1,0,POINT (12430985.87240435 4986122.020078684),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
将军衙署,111.6889,40.826184999999995,0,1号线,1,0,POINT (12432391.38543118 4986536.131768584),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
艺术学院,111.69971000000001,40.828903000000004,0,1号线,1,0,POINT (12433591.85596356 4986932.920813152),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东影路,111.70886999999999,40.830989,0,1号线,1,0,POINT (12434609.377676 4987237.506828566),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
内蒙古展览馆,111.72049299999999,40.833566,0,1号线,1,0,POINT (12435900.98355975 4987614.19593501),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
内蒙古博物院,111.731866,40.836071000000004,0,1号线,1,0,POINT (12437165.43232211 4987980.964242265),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市政府,111.74726499999998,40.839462,0,1号线,1,0,POINT (12438878.60138431 4988478.556612221),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
呼和浩特东站,111.76764299999999,40.847519,0,1号线,1,0,POINT (12441147.70297311 4989663.933815563),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
后不塔气,111.781405,40.848302000000004,0,1号线,1,0,POINT (12442681.44880775 4989780.820679138),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
什兰岱,111.800674,40.852205,0,1号线,1,0,POINT (12444830.32615133 4990358.577119496),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白塔西,111.811751,40.854772,0,1号线,1,0,POINT (12446066.18585989 4990738.802768193),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
坝堰(机场),111.82455300000001,40.857728,0,1号线,1,0,POINT (12447494.79391013 4991176.946714896),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
