station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
方特,116.894884,36.68258,0,1号线,1,0,POINT (13012060.76721383 4394942.461855304),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
济南西站,116.893758,36.669486,0,1号线,1,0,POINT (13011935.59877409 4393126.125236783),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大杨,116.89453,36.651182,0,1号线,1,0,POINT (13012021.74311083 4390587.672939676),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王府庄,116.88158700000001,36.623802000000005,0,1号线,1,0,POINT (13010581.0413145 4386790.527946962),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
玉符河,116.857649,36.610067,0,1号线,1,0,POINT (13007913.88389539 4384882.696641874),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
赵营,116.83466399999999,36.590703999999995,0,1号线,1,0,POINT (13005351.2698447 4382193.778185506),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
紫薇路,116.810216,36.568575,0,1号线,1,0,POINT (13002625.1354698 4379121.576490397),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大学城,116.80374099999999,36.552291,0,1号线,1,0,POINT (13001903.36732684 4376864.44285137),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
园博园,116.79996000000001,36.536088,0,1号线,1,0,POINT (13001482.02513736 4374619.65259367),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
创新谷,116.80501699999999,36.510099,0,1号线,1,0,POINT (13002046.14306979 4371022.505452603),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
工研院,116.795194,36.498445000000004,0,1号线,1,0,POINT (13000951.1819944 4369407.176766344),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滩头,117.16556299999999,36.766925,0,3号线,1,0,POINT (13042133.89408381 4406608.074070118),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
济南东站,117.15975,36.747282,0,3号线,1,0,POINT (13041485.89219044 4403879.152104099),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王舍人,117.13837099999999,36.720246,0,3号线,1,0,POINT (13039102.66702343 4400121.36306202),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
张马屯,117.115131,36.71877,0,3号线,1,0,POINT (13036513.49105043 4399912.988793517),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八涧堡,117.103952,36.705808000000005,0,3号线,1,0,POINT (13035269.16963811 4398113.488622155),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
花园东路,117.106489,36.692353999999995,0,3号线,1,0,POINT (13035551.70812192 4396246.847844872),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丁家庄,117.109794,36.677647,0,3号线,1,0,POINT (13035919.79628081 4394206.793571078),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
礼耕路,117.11101799999999,36.668343,0,3号线,1,0,POINT (13036056.18223034 4392916.362524015),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
奥体中心,117.111364,36.661198,0,3号线,1,0,POINT (13036094.79521225 4391925.436594731),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙奥大厦,117.11443600000001,36.650738,0,3号线,1,0,POINT (13036436.97421996 4390475.136188267),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
孟家庄,117.120075,36.633326000000004,0,3号线,1,0,POINT (13037065.19051703 4388061.511877055),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙洞,117.11781299999998,36.61848,0,3号线,1,0,POINT (13036813.45069528 4386003.20978075),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
