station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
环城南路,102.720923,25.024383,1,1号线,1,0,POINT (11434678.7233757 2879103.999943079),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
昆明火车站,102.723795,25.013698,0,1号线,1,0,POINT (11434997.96500815 2877791.155450322),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福德,102.730365,25.006895999999998,0,1号线,1,0,POINT (11435728.32830644 2876955.009293251),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
日新路,102.735077,25.001354,0,1号线,1,0,POINT (11436252.25648501 2876273.966582678),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
巫家坝,102.741612,24.996793,0,1号线,1,0,POINT (11436979.03285494 2875713.45177719),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
昌宏西路,102.751029,24.986379,0,1号线,1,0,POINT (11438026.6718635 2874434.372446185),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
晓东村,102.761957,24.985303,0,1号线,1,0,POINT (11439242.87275205 2874302.557216119),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
珥季路,102.76701800000001,24.972614,0,1号线,1,0,POINT (11439806.34127393 2872744.758561634),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
星耀路,102.76829599999999,24.956967000000002,0,1号线,1,0,POINT (11439948.68633691 2870823.728599431),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新亚洲体育城,102.769808,24.947096,0,1号线,1,0,POINT (11440117.07494879 2869612.027249126),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南部汽车站,102.77525,24.929345,0,1号线,1,0,POINT (11440723.1594773 2867433.584769213),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
斗南,102.791855,24.908169,0,1号线,1,0,POINT (11442573.06374947 2864836.954687261),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
春融街,102.82530200000001,24.884035,0,1号线,1,0,POINT (11446301.33733157 2861882.458710624),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
驼峰街,102.829427,24.872448000000002,0,1号线,1,0,POINT (11446761.25286955 2860461.754228115),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
