station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
陈官营,103.662299,36.086940000000006,0,1号线,1,0,POINT (11539372.74565721 4312636.419368191),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
深安大桥南,103.678051,36.09055,0,1号线,1,0,POINT (11541121.56973772 4313129.467598249),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兰州城市学院(省科技馆),103.70114000000001,36.098898999999996,0,1号线,1,0,POINT (11543685.39528764 4314273.758649487),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兰州海关,103.709486,36.094513,0,1号线,1,0,POINT (11544612.52097534 4313667.915717104),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
马滩,103.7273,36.082907,0,1号线,1,0,POINT (11546592.33259358 4312066.700546645),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
土门墩,103.743176,36.07306,0,1号线,1,0,POINT (11548358.01205722 4310709.468796904),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兰州西站北广场,103.75268100000001,36.071459000000004,0,1号线,1,0,POINT (11549415.72776569 4310488.891233716),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西站什字,103.769518,36.0685,0,1号线,1,0,POINT (11551290.50654205 4310082.383234022),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
七里河,103.78126800000001,36.06641,0,1号线,1,0,POINT (11552599.68024272 4309796.077652385),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小西湖,103.796289,36.063522,0,1号线,1,0,POINT (11554274.15144574 4309401.152008553),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文化宫,103.805185,36.061132,0,1号线,1,0,POINT (11555266.19648323 4309074.052850097),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西关,103.816935,36.059373,0,1号线,1,0,POINT (11556576.77942888 4308834.735856873),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东方红广场,103.84268,36.053149,0,1号线,1,0,POINT (11559448.71831769 4307984.474304773),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兰州大学,103.856588,36.049956,0,1号线,1,0,POINT (11560999.89710044 4307548.167576851),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五里铺,103.870091,36.046802,0,1号线,1,0,POINT (11562505.36305683 4307116.601131015),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
省气象局,103.883466,36.041587,0,1号线,1,0,POINT (11563995.82194059 4306400.586782732),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
拱星墩,103.89540699999999,36.03911,0,1号线,1,0,POINT (11565325.69768011 4306060.493636602),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
焦家湾,103.907753,36.038311,0,1号线,1,0,POINT (11566699.80646088 4305950.523022341),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东岗,103.91778599999999,36.040469,0,1号线,1,0,POINT (11567815.78013798 4306246.861097925),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
