station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
双港,115.86113999999999,28.743126,0,1号线,1,0,POINT (12897057.76513224 3343410.732894637),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
孔目湖,115.85796100000002,28.732878000000003,0,1号线,1,0,POINT (12896703.21160337 3342109.883028565),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长江路,115.87961899999999,28.717481,0,1号线,1,0,POINT (12899118.75978549 3340159.974050333),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
珠江路,115.87591299999998,28.707524,0,1号线,1,0,POINT (12898705.66388618 3338896.473787423),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
庐山南大道,115.865669,28.701409,0,1号线,1,0,POINT (12897563.31876662 3338119.28976567),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
绿茵路,115.858056,28.697587,0,1号线,1,0,POINT (12896714.11734777 3337633.125457639),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卫东,115.84898600000001,28.690856,0,1号线,1,0,POINT (12895702.19999654 3336777.548987665),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
地铁大厦,115.85238600000001,28.684076,1,1号线,1,0,POINT (12896081.63374456 3335918.413922118),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
秋水广场,115.859973,28.681095000000003,0,1号线,1,0,POINT (12896928.1203108 3335541.888346591),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滕王阁,115.877788,28.673301000000002,0,1号线,1,0,POINT (12898915.01177407 3334556.321065039),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万寿宫,115.885883,28.675086,0,1号线,1,0,POINT (12899817.35794855 3334783.511251559),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八一馆,115.89158700000002,28.675662,0,1号线,1,0,POINT (12900452.99618618 3334856.950684658),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八一广场,115.90266499999998,28.675140000000003,1,1号线,1,0,POINT (12901687.02708393 3334791.035379535),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丁公路北,115.91333300000001,28.673932,0,1号线,1,0,POINT (12902874.75284978 3334637.473747253),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
师大南路,115.924203,28.674034000000002,0,1号线,1,0,POINT (12904084.29399512 3334649.357780147),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
彭家桥,115.933419,28.674227000000002,0,1号线,1,0,POINT (12905109.269854 3334672.419443548),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
谢家村,115.9407,28.674256,0,1号线,1,0,POINT (12905918.71888738 3334674.655927153),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
青山湖大道,115.94883899999999,28.674362,0,1号线,1,0,POINT (12906823.23694692 3334686.168574714),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高新大道,115.960385,28.674424,0,1号线,1,0,POINT (12908105.87258393 3334690.775530401),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
艾溪湖西,115.97369099999999,28.674424,0,1号线,1,0,POINT (12909583.40465711 3334686.400876041),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
艾溪湖东,115.993481,28.674697,0,1号线,1,0,POINT (12911780.12950992 3334713.709156583),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
太子殿,116.011198,28.675009999999997,0,1号线,1,0,POINT (12913746.49061528 3334746.605062239),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
奥体中心,116.024731,28.674482,0,1号线,1,0,POINT (12915248.69763323 3334674.675845946),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瑶湖西,116.038354,28.672109000000003,0,1号线,1,0,POINT (12916761.3685815 3334369.219662161),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南路,115.789286,28.552708000000003,0,2号线,1,0,POINT (12889041.71169749 3319253.470604748),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大岗,115.789363,28.56059,0,2号线,1,0,POINT (12889050.23019108 3320252.027949667),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
生米,115.79084399999999,28.571832,0,2号线,1,0,POINT (12889215.31477854 3321676.604538008),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
九龙湖南,115.79341200000002,28.579703000000002,0,2号线,1,0,POINT (12889501.6853188 3322674.368530011),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市民中心,115.79619,28.593434999999996,0,2号线,1,0,POINT (12889811.45157638 3324414.972789876),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鹰潭街,115.799006,28.599042999999998,0,2号线,1,0,POINT (12890125.55178546 3325126.209853654),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国博,115.79587,28.608219000000002,0,2号线,1,0,POINT (12889775.62379149 3326288.522945108),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西站南广场,115.790539,28.618385999999997,0,2号线,1,0,POINT (12889180.88481676 3327576.173641265),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南昌西站,115.79336200000002,28.623431,0,2号线,1,0,POINT (12889495.72202964 3328216.145826751),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙岗,115.80298700000002,28.623161,0,2号线,1,0,POINT (12890569.49166816 3328183.810535997),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国体中心,115.81673899999998,28.622378,0,2号线,1,0,POINT (12892104.04205033 3328087.619329022),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卧龙山,115.822477,28.631606,0,2号线,1,0,POINT (12892744.32604 3329258.709831739),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
岭北,115.830145,28.641038,0,2号线,1,0,POINT (12893600.02599149 3330456.232067675),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
前湖大道,115.83493899999999,28.651869,0,2号线,1,0,POINT (12894134.96121021 3331830.529946442),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
学府大道东,115.839123,28.659244,0,2号线,1,0,POINT (12894601.83684807 3332766.588802214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翠苑路,115.846675,28.672620000000002,0,2号线,1,0,POINT (12895444.48234647 3334464.398474848),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
地铁大厦,115.85238600000001,28.684076,1,2号线,1,0,POINT (12896081.63374456 3335918.413922118),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
