line,length,Cement,Steel,Total
10号线,23775.259997777597,437107.91730654123,2710.379639746646,439818.5346988878
1号线,42354.48722562069,778686.8240981642,4828.411543720758,783515.659186757
2号线,41055.03744054573,754796.452794059,4680.274268222213,759477.1376126555
3号线,49466.806713941085,909446.7467677398,5639.215965389283,915086.4574011961
4号线,36472.74801901594,670551.107602128,4157.893274167817,674709.3656037758
S1号线(机场线),36828.83323672348,677097.730768829,4198.486988986478,681296.5860461477
S3号线(宁和线),38980.9445978251,716664.2766215686,4443.827684152062,721108.4941151666
S7号线(宁溧线),31189.554214091022,573419.6423305214,3555.6091804063767,576975.5634064698
S8号线(宁天线),51900.26956971148,954185.93703645,5916.6307309471085,960103.0867700927
S9号线(宁高线),56750.75461776712,1043362.0561401023,6469.586026425451,1049832.2096740738
