station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
空港新城江宁,118.88765900000001,31.737687,1,S1号线(机场线),1,0,POINT (13233957.36576184 3729208.643936544),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
禄口机场,118.87364,31.730279,0,S1号线(机场线),1,0,POINT (13232395.45023233 3728237.338281164),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翔宇路南,118.829201,31.754865999999996,1,S1号线(机场线),1,0,POINT (13227439.39287387 3731446.849344585),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翔宇路北,118.821542,31.791284,0,S1号线(机场线),1,0,POINT (13226584.62148148 3736214.42628486),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
正方中路,118.80580900000001,31.845115000000003,0,S1号线(机场线),1,0,POINT (13224829.13280052 3743264.335930408),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吉印大道,118.795507,31.886165999999996,0,S1号线(机场线),1,0,POINT (13223679.834694 3748644.103883887),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
河海大学·佛城西路,118.79136499999998,31.914085999999998,0,S1号线(机场线),1,0,POINT (13223217.71756124 3752305.150301684),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翠屏山,118.78451399999999,31.942529999999998,0,S1号线(机场线),1,0,POINT (13222453.66786822 3756035.713512557),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南京南站,118.79678600000001,31.970968,1,S1号线(机场线),1,0,POINT (13223821.58776966 3759770.016151536),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中国药科大学,118.91412700000001,31.897684,0,1号线,1,0,POINT (13236901.97054042 3750173.394026137),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南京交院,118.904804,31.91286,0,1号线,1,0,POINT (13235864.51450245 3752164.330936816),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南医大·江苏经贸学院,118.890239,31.933475,0,1号线,1,0,POINT (13234242.76516341 3754868.434602434),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙眠大道,118.877156,31.939902000000004,0,1号线,1,0,POINT (13232785.19075672 3755710.440481639),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天印大道,118.863561,31.937638,0,1号线,1,0,POINT (13231269.84327543 3755411.242460532),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
竹山路,118.844454,31.931965,0,1号线,1,0,POINT (13229139.09375319 3754662.87906823),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小龙湾,118.832624,31.929684,0,1号线,1,0,POINT (13227819.48271727 3754360.763698374),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
百家湖,118.820843,31.931941,0,1号线,1,0,POINT (13226505.22045925 3754653.977226535),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
胜太路,118.821393,31.943548999999997,0,1号线,1,0,POINT (13226566.45741319 3756177.188994757),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
河定桥,118.82014099999999,31.952091999999997,0,1号线,1,0,POINT (13226426.70485498 3757297.92872321),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双龙大道,118.817196,31.963833,0,1号线,1,0,POINT (13226098.0635723 3758838.086175978),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南京南站,118.79678600000001,31.970968,1,1号线,1,0,POINT (13223821.58776966 3759770.016151536),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
花神庙,118.785648,31.977795,0,1号线,1,0,POINT (13222579.71495127 3760664.129899594),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
软件大道,118.774583,31.976727,0,1号线,1,0,POINT (13221346.51389633 3760522.400067867),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天隆寺,118.76314599999999,31.979331,0,1号线,1,0,POINT (13220072.36804585 3760863.195592761),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安德门,118.76213600000001,31.990862,1,1号线,1,0,POINT (13219959.76125413 3762376.895157995),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
