station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
火车东站,108.41409099999998,22.839677,0,1号线,1,0,POINT (12068145.53718554 2612962.519148758),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
佛子岭,108.424884,22.831844,0,1号线,1,0,POINT (12069348.05958237 2612017.739864454),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
百花岭,108.42794599999999,22.818109,0,1号线,1,0,POINT (12069689.39628303 2610359.83918955),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
埌东客运站,108.418641,22.812921,0,1号线,1,0,POINT (12068652.54688295 2609732.440921105),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
凤岭,108.41034599999999,22.813119,0,1号线,1,0,POINT (12067728.59625481 2609755.794219677),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东盟商务区,108.39905900000001,22.813064,0,1号线,1,0,POINT (12066471.95805643 2609749.003421879),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万象城,108.392022,22.813041000000002,0,1号线,1,0,POINT (12065688.82100197 2609746.471211442),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,108.383728,22.812865,0,1号线,1,0,POINT (12064766.09939498 2609725.826568251),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金湖广场,108.37235600000001,22.812895,1,1号线,1,0,POINT (12063501.43010936 2609730.780351104),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南湖,108.36306699999999,22.813671,0,1号线,1,0,POINT (12062468.76534533 2609825.927622772),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
麻村,108.347473,22.813014000000003,0,1号线,1,0,POINT (12060735.73303554 2609749.649718105),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
民族广场,108.33635,22.813048000000002,0,1号线,1,0,POINT (12059499.85012501 2609756.213199481),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新民路,108.327324,22.813042000000003,0,1号线,1,0,POINT (12058497.03144785 2609757.561432471),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝阳广场,108.320842,22.817093,1,1号线,1,0,POINT (12057776.83012751 2610248.117684737),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
火车站,108.31633500000001,22.824873999999998,1,1号线,1,0,POINT (12057276.01983295 2611188.555818176),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白苍岭,108.307154,22.83107,0,1号线,1,0,POINT (12056255.81306986 2611938.647626017),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广西大学,108.29111100000001,22.831607,0,1号线,1,0,POINT (12054472.70521711 2612006.556516032),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鲁班路,108.28301200000001,22.834073999999998,0,1号线,1,0,POINT (12053572.2278243 2612305.689972361),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
动物园,108.267771,22.837805,0,1号线,1,0,POINT (12051876.99825352 2612757.897870487),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
清川,108.253119,22.840172,0,1号线,1,0,POINT (12050246.3351642 2613044.414698933),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
民族大学,108.23301799999999,22.837229,0,1号线,1,0,POINT (12048007.65778053 2612688.441863166),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西乡塘客运站,108.21915600000001,22.832924,0,1号线,1,0,POINT (12046462.79858913 2612167.191505042),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鹏飞路,108.20228300000001,22.833056,0,1号线,1,0,POINT (12044581.37565174 2612180.41435432),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南职院,108.19224399999999,22.83313,0,1号线,1,0,POINT (12043461.58771884 2612187.353508838),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石埠,108.177596,22.826528,0,1号线,1,0,POINT (12041827.40997889 2611387.008937683),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西津,108.29845900000001,22.88927,0,2号线,1,0,POINT (12055289.15526409 2618968.872037467),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安吉客运站,108.297843,22.879757,1,2号线,1,0,POINT (12055220.74335572 2617819.968203413),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
苏卢,108.299553,22.868884,0,2号线,1,0,POINT (12055410.86492386 2616506.445871825),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
