station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
霞浦,121.85675,29.890445,0,1号线,1,0,POINT (13564579.18541209 3489807.729328304),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长江路,121.843773,29.890703000000002,0,1号线,1,0,POINT (13563131.24085186 3489838.041757375),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中河路,121.82960700000001,29.893725,0,1号线,1,0,POINT (13561550.3192865 3490222.695092338),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
松花江路,121.80858300000001,29.904203999999996,0,1号线,1,0,POINT (13559204.03632122 3491563.308672241),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大碶,121.794673,29.893302000000002,0,1号线,1,0,POINT (13557652.24912553 3490160.529702719),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
邬隘,121.782269,29.874725,0,1号线,1,0,POINT (13556269.04743418 3487773.401455222),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宝幢,121.733579,29.839346000000003,0,1号线,1,0,POINT (13550845.67487486 3483230.778087691),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五乡,121.69015300000001,29.838494,0,1号线,1,0,POINT (13546017.16629245 3483128.614143602),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
邱隘东,121.661441,29.846562,0,1号线,1,0,POINT (13542826.88968082 3484170.916428578),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东环南路,121.65058700000002,29.853023999999998,0,1号线,1,0,POINT (13541620.76188684 3485002.775966167),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
盛莫路,121.636273,29.856445,0,1号线,1,0,POINT (13540029.81122915 3485444.776872143),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福庆北路,121.624204,29.858826,0,1号线,1,0,POINT (13538687.8732572 3485752.313187389),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海晏北路,121.61462399999999,29.860234000000002,0,1号线,1,0,POINT (13537622.25605378 3485934.123643449),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
