station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
李村公园,120.425954,36.167794,0,2号线,1,0,POINT (13405186.68962247 4323693.417176194),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
李村,120.424747,36.159067,1,2号线,1,0,POINT (13405052.18393108 4322490.223510614),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
枣山路,120.43345900000001,36.153862,0,2号线,1,0,POINT (13406024.01423215 4321774.198868524),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华楼山路,120.439516,36.149334,0,2号线,1,0,POINT (13406699.9415636 4321151.357278792),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东韩,120.441927,36.128291,0,2号线,1,0,POINT (13406969.27342499 4318252.011032072),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
辽阳东路,120.450073,36.117388,0,2号线,1,0,POINT (13407878.78483314 4316751.897456813),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
同安路,120.45536100000001,36.111315000000005,0,2号线,1,0,POINT (13408469.35582592 4315916.791850875),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
苗岭路,120.46478400000001,36.100457,1,2号线,1,0,POINT (13409522.02341999 4314424.153170289),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石老人浴场,120.464463,36.093228,0,2号线,1,0,POINT (13409486.24495978 4313428.349990098),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海安路,120.45085900000001,36.085683,0,2号线,1,0,POINT (13407966.91241685 4312384.946274105),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海川路,120.443405,36.076445,0,2号线,1,0,POINT (13407134.8439744 4311110.821468394),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海游路,120.43463799999999,36.071723999999996,0,2号线,1,0,POINT (13406156.50766431 4310458.81850149),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
麦岛,120.423198,36.066093,0,2号线,1,0,POINT (13404880.52697228 4309681.645208879),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高雄路,120.410706,36.066133,0,2号线,1,0,POINT (13403488.02231783 4309686.038948092),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
燕儿岛路,120.401596,36.064963,0,2号线,1,0,POINT (13402473.11689844 4309524.747863405),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
