line,length,Cement,Steel,Total
10号线,94871.75969699839,1744216.3533117184,10815.380605457816,1755032.6826347732
11号线,148948.98095279673,2738425.525327359,16980.18382861883,2755407.198645787
12号线,44780.46321478622,823288.3683992126,5104.97280648563,828393.7890103303
13号线,43566.350628096625,800966.9206340503,4966.5639716030155,805933.9202691595
16号线,64048.09576349952,1177523.6001309813,7301.482917038946,1184825.7235289777
17号线,38439.062001153194,706701.7705005815,4382.053068131465,711084.207959333
1号线,42387.484693902945,779293.4822225587,4832.173255104935,784126.0793525106
2号线,65642.25300775479,1206832.1651250417,7483.216842884045,1214316.0383904558
3号线,45661.20705248983,839480.835047955,5205.377603983841,844686.6692640093
4号线,36674.53069255895,674260.8800373893,4180.89649895172,678442.1432816479
5号线,49425.869275657,908694.1123742613,5634.549097424899,914329.1557303788
6号线,36598.12692617109,672856.1975563864,4172.186469583505,677028.7500072389
7号线,48270.304435577724,887449.0643450521,5502.814705655861,892952.3617537523
8号线,41561.35839726436,764105.1585201214,4737.994857288137,768843.5689909934
9号线,72150.7918907896,1326491.587404248,8225.190275550014,1334717.4991877167
浦江线,6296.717396268399,115765.08636322057,717.8257831745975,116482.9751135691
磁悬浮,28436.626942655097,522807.1019744446,3241.775471462681,526049.1618121767
