station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
莘庄,121.385373,31.111152,1,1号线,1,0,POINT (13512042.04959654 3647440.087436975),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
外环路,121.39301999999999,31.120898999999998,0,1号线,1,0,POINT (13512892.66925305 3648706.244500304),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
莲花路,121.40291,31.1309,0,1号线,1,0,POINT (13513993.2923374 3650005.861269064),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
锦江乐园,121.414107,31.142217,0,1号线,1,0,POINT (13515240.05112868 3651477.340157583),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上海南站,121.43004099999999,31.154579,1,1号线,1,0,POINT (13517015.57903267 3653086.30030216),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
漕宝路,121.43314299999999,31.168344,1,1号线,1,0,POINT (13517361.29753678 3654876.619725815),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上海体育馆,121.437423,31.182813,1,1号线,1,0,POINT (13517838.43685361 3656759.063505491),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
徐家汇,121.43683700000001,31.195338,1,1号线,1,0,POINT (13517772.96281727 3658388.018493774),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
衡山路,121.446424,31.204528000000003,0,1号线,1,0,POINT (13518842.2851597 3659585.611337025),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
常熟路,121.449141,31.213524,1,1号线,1,0,POINT (13519145.36020237 3660756.63920961),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陕西南路,121.458744,31.21515,1,1号线,1,0,POINT (13520217.12035791 3660970.901920727),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄陂南路,121.47330600000001,31.222745,0,1号线,1,0,POINT (13521842.99474001 3661963.893290882),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民广场,121.47513700000002,31.232781,1,1号线,1,0,POINT (13522047.39167281 3663270.461833784),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新闸路,121.468151,31.238373,0,1号线,1,0,POINT (13521267.16931782 3663995.740501246),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汉中路,121.458699,31.241883,1,1号线,1,0,POINT (13520211.83999882 3664449.50117001),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上海火车站,121.457939,31.249632000000002,1,1号线,1,0,POINT (13520126.9282705 3665457.805049571),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中山北路,121.459204,31.258891,0,1号线,1,0,POINT (13520268.04975132 3666663.366290012),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
延长路,121.455329,31.271675,0,1号线,1,0,POINT (13519835.38588329 3668326.428537331),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上海马戏城,121.452023,31.279895,0,1号线,1,0,POINT (13519466.33169275 3669395.702130714),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汶水路,121.450251,31.292556,0,1号线,1,0,POINT (13519268.4613558 3671043.826211472),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
彭浦新村,121.44864199999999,31.306603999999997,0,1号线,1,0,POINT (13519088.78053073 3672872.894760191),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
共康路,121.44706299999999,31.318935999999997,0,1号线,1,0,POINT (13518912.47602512 3674478.753717758),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
通河新村,121.441546,31.331129999999998,0,1号线,1,0,POINT (13518296.86834496 3676065.958665676),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
呼兰路,121.43771100000001,31.339703000000004,0,1号线,1,0,POINT (13517869.03745561 3677182.083110553),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
共富新村,121.434063,31.355082,0,1号线,1,0,POINT (13517462.07224917 3679185.330339993),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宝安公路,121.43091399999999,31.369555,0,1号线,1,0,POINT (13517110.82272458 3681071.009140097),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
友谊西路,121.427953,31.381296000000003,0,1号线,1,0,POINT (13516780.61297538 3682600.954174536),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
富锦路,121.42466100000001,31.392259999999997,0,1号线,1,0,POINT (13516413.5701123 3684029.817892299),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
浦东国际机场,121.80559099999999,31.150958000000003,1,2号线,1,0,POINT (13558858.84327796 3652643.494254739),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海天三路,121.796878,31.168459000000002,0,2号线,1,0,POINT (13557886.58339597 3654917.198082518),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
远东大道,121.755301,31.199384999999996,0,2号线,1,0,POINT (13553251.45076299 3658934.480795831),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
凌空路,121.72409499999999,31.192860999999997,0,2号线,1,0,POINT (13549778.12796056 3658087.47641636),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
川沙,121.69821,31.186740999999998,0,2号线,1,0,POINT (13546900.24916585 3657295.956626764),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华夏东路,121.680972,31.196575,0,2号线,1,0,POINT (13544984.64814374 3658579.064984312),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
创新中路,121.67371299999999,31.213871,0,2号线,1,0,POINT (13544177.97528622 3660830.894975804),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
唐镇,121.656269,31.214107000000002,0,2号线,1,0,POINT (13542239.8422775 3660865.881183798),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广兰路,121.621072,31.21105,0,2号线,1,0,POINT (13538327.39019089 3660474.815114577),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金科路,121.60198899999999,31.204213,0,2号线,1,0,POINT (13536204.09522379 3659586.806921917),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
