station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
黎明广场,123.50430800000001,41.80812,0,1号线,1,0,POINT (13747777.24360768 5131943.711464101),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滂江街,123.48859399999999,41.808405,1,1号线,1,0,POINT (13746021.49008751 5131979.28197106),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东中街,123.470596,41.802831,0,1号线,1,0,POINT (13744011.14072598 5131139.358787849),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中街,123.461001,41.801344,0,1号线,1,0,POINT (13742939.81280142 5130913.708699813),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
怀远门,123.447255,41.796946999999996,0,1号线,1,0,POINT (13741405.79917263 5130252.733911564),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
青年大街,123.43286299999998,41.792235999999995,1,1号线,1,0,POINT (13739800.85355212 5129545.843738879),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南市场,123.41990600000001,41.789396,0,1号线,1,0,POINT (13738357.05860116 5129119.795859084),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
太原街,123.406644,41.789528000000004,0,1号线,1,0,POINT (13736880.4157363 5129138.559094137),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沈阳站,123.396798,41.793772,0,1号线,1,0,POINT (13735784.83125673 5129772.22563808),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
云峰北街,123.38056,41.79657,0,1号线,1,0,POINT (13733979.41474326 5130191.390954372),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁西广场,123.37066599999999,41.79416,1,1号线,1,0,POINT (13732880.15619991 5129833.143866658),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
保工街,123.356113,41.800290999999994,0,1号线,1,0,POINT (13731263.93822084 5130751.678881966),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
启工街,123.34355900000001,41.803726,0,1号线,1,0,POINT (13729870.33492384 5131267.843116897),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
重工街,123.331973,41.805071999999996,0,1号线,1,0,POINT (13728584.49592199 5131472.08999743),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
迎宾路,123.30966799999999,41.801583,0,1号线,1,0,POINT (13726109.20725652 5130957.370173152),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
于洪广场,123.30568600000001,41.794185999999996,0,1号线,1,0,POINT (13725667.34491085 5129853.959226211),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
开发大道,123.305135,41.781118,0,1号线,1,0,POINT (13725606.38546803 5127903.229180806),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
张士,123.294099,41.771936,0,1号线,1,0,POINT (13724381.36932757 5126535.389824132),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四号街,123.277277,41.766026000000004,0,1号线,1,0,POINT (13722513.13021081 5125656.546996531),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
七号街,123.25934,41.765381,0,1号线,1,0,POINT (13720519.52033512 5125562.165323274),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中央大街,123.24253700000001,41.765395,0,1号线,1,0,POINT (13718650.3794231 5125564.404324695),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
十三号街,123.23050900000001,41.765462,0,1号线,1,0,POINT (13717311.45924662 5125573.542332411),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
蒲田路,123.405529,41.956447,0,2号线,1,0,POINT (13736753.67882955 5154092.212609841),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
蒲河路,123.408584,41.946825,0,2号线,1,0,POINT (13737093.85650921 5152652.008116666),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人杰湖公园,123.398316,41.936609999999995,0,2号线,1,0,POINT (13735951.42955989 5151123.135522305),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
辽宁大学,123.39371100000001,41.929389,0,2号线,1,0,POINT (13735439.34215194 5150042.762774283),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
航空航天大学,123.40308,41.917792999999996,0,2号线,1,0,POINT (13736481.76218224 5148307.518447253),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
师范大学,123.409145,41.907692,0,2号线,1,0,POINT (13737156.92464258 5146796.617889272),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
