station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
罗湖,114.11866599999999,22.532083,0,1号线/罗宝线,1,0,POINT (12703064.19838336 2575853.509372853),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国贸,114.118909,22.53968,0,1号线/罗宝线,1,0,POINT (12703091.23776872 2576769.108567889),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
老街,114.11693899999999,22.544232,1,1号线/罗宝线,1,0,POINT (12702871.55829766 2577317.533039764),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大剧院,114.10781100000001,22.5418,1,1号线/罗宝线,1,0,POINT (12701854.07564492 2577023.764149285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大剧院,114.10781100000001,22.5418,1,1号线/罗宝线,1,0,POINT (12701854.07564492 2577023.764149285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
科学馆,114.094946,22.540618,0,1号线/罗宝线,1,0,POINT (12700420.71800561 2576881.090084574),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华强路,114.08513300000001,22.540459,0,1号线/罗宝线,1,0,POINT (12699327.97829355 2576862.352922941),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
岗厦,114.06818999999999,22.534854,0,1号线/罗宝线,1,0,POINT (12697442.51898291 2576188.804750383),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,114.06110100000001,22.534769,1,1号线/罗宝线,1,0,POINT (12696654.06359359 2576179.829102424),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
购物公园,114.054581,22.534654999999997,1,1号线/罗宝线,1,0,POINT (12695929.11028828 2576167.475205854),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
香蜜湖,114.03863700000001,22.538887,0,1号线/罗宝线,1,0,POINT (12694157.0611313 2576681.687973247),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
车公庙,114.02583,22.536247,1,1号线/罗宝线,1,0,POINT (12692734.36990536 2576367.541120806),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
竹子林,114.01391699999999,22.533357000000002,0,1号线/罗宝线,1,0,POINT (12691411.36162824 2576023.360253744),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
侨城东,113.996651,22.532405999999998,0,1号线/罗宝线,1,0,POINT (12689494.15021142 2575915.015680379),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华侨城,113.98536899999999,22.533489000000003,0,1号线/罗宝线,1,0,POINT (12688241.36765179 2576049.607003812),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世界之窗,113.974216,22.5369,1,1号线/罗宝线,1,0,POINT (12687002.71477852 2576464.537577666),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白石洲,113.96704799999999,22.539604,0,1号线/罗宝线,1,0,POINT (12686206.47885137 2576792.738417042),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高新园,113.953842,22.540236,0,1号线/罗宝线,1,0,POINT (12684739.12604081 2576872.732993877),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
深大,113.94417299999999,22.538667,0,1号线/罗宝线,1,0,POINT (12683664.35489382 2576685.993114369),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桃园,113.924857,22.532357,0,1号线/罗宝线,1,0,POINT (12681515.95339602 2575928.889272471),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大新,113.915072,22.532232,0,1号线/罗宝线,1,0,POINT (12680426.86748258 2575914.780815923),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鲤鱼门,113.903079,22.532004999999998,0,1号线/罗宝线,1,0,POINT (12679091.32987091 2575887.886870976),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
前海湾,113.89793200000001,22.537121,1,1号线/罗宝线,1,0,POINT (12678517.89225763 2576504.416161159),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新安,113.894625,22.547468,0,1号线/罗宝线,1,0,POINT (12678149.3316121 2577751.369195865),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宝安中心,113.88723300000001,22.554575,1,1号线/罗宝线,1,0,POINT (12677325.42095752 2578607.555105031),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宝体,113.880641,22.560741,0,1号线/罗宝线,1,0,POINT (12676590.46375701 2579350.177755333),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
坪洲,113.87071100000001,22.568908,0,1号线/罗宝线,1,0,POINT (12675483.0051035 2580333.377143767),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西乡,113.86304799999999,22.575149,0,1号线/罗宝线,1,0,POINT (12674628.12712233 2581084.478030073),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
固戍,113.846792,22.601363,0,1号线/罗宝线,1,0,POINT (12672813.97583552 2584241.58039696),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
后瑞,113.835449,22.628835000000002,0,1号线/罗宝线,1,0,POINT (12671547.75855244 2587551.528519653),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
机场东,113.82263400000001,22.647001,0,1号线/罗宝线,1,0,POINT (12670117.22553575 2589739.281068492),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
赤湾,113.897525,22.479226999999998,1,2号线/蛇口线,1,0,POINT (12678472.95113637 2569528.266489809),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
蛇口港,113.91233100000001,22.476626,0,2号线/蛇口线,1,0,POINT (12680122.0878179 2569214.663401555),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海上世界,113.91511100000001,22.485101,0,2号线/蛇口线,1,0,POINT (12680431.53998974 2570235.546605126),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
水湾,113.91968600000001,22.488389,0,2号线/蛇口线,1,0,POINT (12680940.7848029 2570631.312400587),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东角头,113.931149,22.486325,0,2号线/蛇口线,1,0,POINT (12682216.3191531 2570381.178612148),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湾厦,113.938604,22.493353,0,2号线/蛇口线,1,0,POINT (12683045.44469406 2571226.635168286),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海月,113.937715,22.500409,0,2号线/蛇口线,1,0,POINT (12682946.53152581 2572076.987334726),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
登良,113.937602,22.509145999999998,0,2号线/蛇口线,1,0,POINT (12682933.9033913 2573129.782916564),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
后海,113.942498,22.518422,1,2号线/蛇口线,1,0,POINT (12683478.26604487 2574246.573429023),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
科苑,113.94619499999999,22.527019,0,2号线/蛇口线,1,0,POINT (12683889.23150225 2575281.764005087),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
红树湾,113.968432,22.525142000000002,0,2号线/蛇口线,1,0,POINT (12686360.32637699 2575049.405674167),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世界之窗,113.974216,22.5369,1,2号线/蛇口线,1,0,POINT (12687002.71477852 2576464.537577666),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
侨城北,113.989148,22.543992000000003,0,2号线/蛇口线,1,0,POINT (12688660.93366283 2577314.079505506),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
深康,113.998846,22.546456,0,2号线/蛇口线,1,0,POINT (12689737.77762493 2577607.528342538),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
安托山,114.00623600000002,22.548785000000002,1,2号线/蛇口线,1,0,POINT (12690558.33154912 2577885.536722584),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
侨香,114.01437800000001,22.549784,0,2号线/蛇口线,1,0,POINT (12691462.43666567 2578003.012717784),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
香蜜,114.02385100000001,22.552772,0,2号线/蛇口线,1,0,POINT (12692514.44778415 2578359.865939437),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
香梅北,114.032716,22.55386,0,2号线/蛇口线,1,0,POINT (12693499.13623356 2578488.113699779),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
景田,114.043343,22.553419,1,2号线/蛇口线,1,0,POINT (12694679.8754254 2578431.821123438),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
莲花西,114.05003400000001,22.546668,0,2号线/蛇口线,1,0,POINT (12695423.56129222 2577616.380948365),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福田,114.052879,22.540087,1,2号线/蛇口线,1,0,POINT (12695739.85930487 2576822.528800429),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市民中心,114.06119199999999,22.541744,1,2号线/蛇口线,1,0,POINT (12696664.13270575 2577020.435569793),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
岗厦北,114.06924,22.540937,0,2号线/蛇口线,1,0,POINT (12697559.28007577 2576921.757969296),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华强北,114.08541299999999,22.544441,1,2号线/蛇口线,1,0,POINT (12699359.12203255 2577342.254480533),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
燕南,114.092561,22.544541,0,2号线/蛇口线,1,0,POINT (12700155.05706536 2577353.956100962),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大剧院,114.10781100000001,22.5418,1,2号线/蛇口线,1,0,POINT (12701854.07564492 2577023.764149285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湖贝,114.125437,22.544287,0,2号线/蛇口线,1,0,POINT (12703819.16653859 2577325.113640703),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄贝岭,114.13633200000001,22.546095,1,2号线/蛇口线,1,0,POINT (12705034.46090253 2577544.660483434),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新秀,114.148765,22.547688,0,2号线/蛇口线,1,0,POINT (12706421.76554281 2577738.987702995),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
益田,114.050987,22.516287,0,3号线/龙岗线,1,0,POINT (12695529.71265752 2573954.786138777),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石厦,114.05361599999999,22.523708,1,3号线/龙岗线,1,0,POINT (12695821.90866795 2574848.439658449),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
购物公园,114.054581,22.534654999999997,1,3号线/龙岗线,1,0,POINT (12695929.11028828 2576167.475205854),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福田,114.052879,22.540087,1,3号线/龙岗线,1,0,POINT (12695739.85930487 2576822.528800429),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
少年宫,114.06017,22.548627,1,3号线/龙岗线,1,0,POINT (12696550.43354768 2577850.209346699),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
莲花村,114.067829,22.548645999999998,0,3号线/龙岗线,1,0,POINT (12697402.26150323 2577851.104036374),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华新,114.08665400000001,22.548981,1,3号线/龙岗线,1,0,POINT (12699497.25577655 2577889.360044877),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
通新岭,114.096273,22.549126,0,3号线/龙岗线,1,0,POINT (12700568.46562433 2577906.493267532),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
红岭,114.104584,22.548379999999998,1,3号线/龙岗线,1,0,POINT (12701494.40946071 2577816.68035774),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
老街,114.11693899999999,22.544232,1,3号线/龙岗线,1,0,POINT (12702871.55829766 2577317.533039764),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
晒布,114.12266399999999,22.549238,0,3号线/龙岗线,1,0,POINT (12703509.88133971 2577921.491857694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翠竹,114.129883,22.556188,0,3号线/龙岗线,1,0,POINT (12704314.96824024 2578760.135494984),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
田贝,114.130052,22.56728,1,3号线/龙岗线,1,0,POINT (12704333.73903873 2580097.150231244),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
水贝,114.124974,22.573988,0,3号线/龙岗线,1,0,POINT (12703767.31495735 2580905.050476518),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
草埔,114.1165,22.584447,0,3号线/龙岗线,1,0,POINT (12702822.32252906 2582164.939283041),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
布吉,114.121571,22.601765,1,3号线/龙岗线,1,0,POINT (12703387.61628297 2584253.301104604),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
木棉湾,114.130293,22.606997,0,3号线/龙岗线,1,0,POINT (12704360.33398939 2584885.25701968),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大芬,114.138364,22.614191,0,3号线/龙岗线,1,0,POINT (12705260.67748363 2585753.962865252),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丹竹头,114.148054,22.619752,0,3号线/龙岗线,1,0,POINT (12706341.90021641 2586426.323616379),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
六约,114.180646,22.634322,0,3号线/龙岗线,1,0,POINT (12709979.58603092 2588190.451465657),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
塘坑,114.192725,22.639179000000002,0,3号线/龙岗线,1,0,POINT (12711327.69514797 2588778.79105738),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
横岗,114.20899399999999,22.648442000000003,0,3号线/龙岗线,1,0,POINT (12713142.94429919 2589898.953515335),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
永湖,114.218042,22.658995,0,3号线/龙岗线,1,0,POINT (12714152.10982004 2591173.055813996),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
荷坳,114.22431,22.673079,0,3号线/龙岗线,1,0,POINT (12714850.98347431 2592872.54037451),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大运,114.228163,22.68572,0,3号线/龙岗线,1,0,POINT (12715280.481087 2594397.729727213),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
爱联,114.23442299999999,22.697495,0,3号线/龙岗线,1,0,POINT (12715978.21667841 2595818.685618461),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吉祥,114.24431799999999,22.709488,0,3号线/龙岗线,1,0,POINT (12717080.79720491 2597265.996772951),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙城广场,114.25459199999999,22.716915,0,3号线/龙岗线,1,0,POINT (12718225.16595854 2598162.064902396),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南联,114.26553100000001,22.721967000000003,0,3号线/龙岗线,1,0,POINT (12719443.08882187 2598771.09131476),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双龙,114.277422,22.728806,0,3号线/龙岗线,1,0,POINT (12720766.39460168 2599595.120550906),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福田口岸,114.069273,22.515736999999998,0,4号线/龙华线,1,0,POINT (12697563.1339109 2573884.836984175),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
福民,114.06591499999999,22.523226,1,4号线/龙华线,1,0,POINT (12697189.54465717 2574787.858365042),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,114.06110100000001,22.534769,1,4号线/龙华线,1,0,POINT (12696654.06359359 2576179.829102424),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市民中心,114.06119199999999,22.541744,1,4号线/龙华线,1,0,POINT (12696664.13270575 2577020.435569793),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
