station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
西王,114.40846200000001,38.04022,0,1号线,1,0,POINT (12735189.81341259 4584989.569668003),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
时光街,114.42311699999999,38.040693,0,1号线,1,0,POINT (12736823.23983608 4585057.667223663),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长城桥,114.437003,38.041354,0,1号线,1,0,POINT (12738372.15482726 4585153.521132669),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
和平医院,114.45210800000001,38.042077,0,1号线,1,0,POINT (12740058.27003421 4585259.622228859),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
烈士陵园,114.465157,38.042683000000004,0,1号线,1,0,POINT (12741515.75661672 4585349.564735893),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新百广场,114.47738600000001,38.043255,1,1号线,1,0,POINT (12742882.21809655 4585435.025986676),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
解放广场,114.48698200000001,38.043385,0,1号线,1,0,POINT (12743954.73420995 4585457.289447027),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
平安大街,114.501446,38.043510999999995,0,1号线,1,0,POINT (12745571.53229001 4585481.189044164),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北国商城,114.51239299999999,38.043149,0,1号线,1,0,POINT (12746795.1737936 4585434.61151142),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
博物院,114.522609,38.042936,0,1号线,1,0,POINT (12747936.93170659 4585408.639142634),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
体育场,114.53276299999999,38.043126,0,1号线,1,0,POINT (12749071.47122992 4585439.350370841),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北宋,114.545798,38.043397999999996,0,1号线,1,0,POINT (12750527.32889153 4585482.18650412),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
谈固,114.562054,38.043683,0,1号线,1,0,POINT (12752341.748503 4585526.793951829),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝晖桥,114.576621,38.043953,0,1号线,1,0,POINT (12753966.32606199 4585567.543488694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
白佛,114.58574899999999,38.044146000000005,0,1号线,1,0,POINT (12754983.63117542 4585595.770581787),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
留村,114.60859599999999,38.03755,0,1号线,1,0,POINT (12757527.63887223 4584663.321999371),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
火炬广场,114.623089,38.03776,0,1号线,1,0,POINT (12759139.75170324 4584691.460772258),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
石家庄东站,114.629189,38.048913,0,1号线,1,0,POINT (12759817.81193999 4586267.290215816),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南村,114.628722,38.059589,0,1号线,1,0,POINT (12759765.76313271 4587776.955197855),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
洨河大道,114.628373,38.068843,0,1号线,1,0,POINT (12759726.84916639 4589085.704519187),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
