station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
木渎,120.518128,31.274974,0,1号线,1,0,POINT (13415532.95340059 3668780.802061833),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金枫路,120.529572,31.276491999999998,0,1号线,1,0,POINT (13416811.46328835 3668982.567390949),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汾湖路,120.54183,31.278046999999997,0,1号线,1,0,POINT (13418180.44369571 3669189.001226091),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
玉山路,120.54946799999999,31.283409000000002,0,1号线,1,0,POINT (13419033.10592869 3669889.326716492),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
狮子山,120.54876200000001,31.293819,1,1号线,1,0,POINT (13418954.20373727 3671244.677414716),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
塔园路,120.556692,31.299963,0,1号线,1,0,POINT (13419839.18970504 3672046.796032053),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨河路,120.566119,31.300779,0,1号线,1,0,POINT (13420890.86953581 3672155.024337214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西环路,120.577161,31.301539000000002,0,1号线,1,0,POINT (13422122.07984211 3672255.671154097),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桐泾北路,120.59120300000001,31.302984000000002,0,1号线,1,0,POINT (13423686.74534476 3672444.961829816),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广济南路,120.60106599999999,31.304529,1,1号线,1,0,POINT (13424785.04594298 3672646.264828779),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
养育巷,120.614052,31.30514,0,1号线,1,0,POINT (13426230.27527083 3672725.126450292),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
乐桥,120.622529,31.305505,1,1号线,1,0,POINT (13427173.21257289 3672771.730962496),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
临顿路,120.630633,31.307982,0,1号线,1,0,POINT (13428074.32476597 3673093.144806372),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
相门,120.638847,31.309803000000002,0,1号线,1,0,POINT (13428987.40057157 3673328.844938464),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东环路,120.649874,31.312254,0,1号线,1,0,POINT (13430212.81975058 3673645.76549905),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中央公园,120.65993799999998,31.313768,0,1号线,1,0,POINT (13431330.97244791 3673840.609886888),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
星海广场,120.67081200000001,31.315499,0,1号线,1,0,POINT (13432538.96474284 3674063.397260287),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东方之门,120.680144,31.317079999999997,1,1号线,1,0,POINT (13433575.62511747 3674267.015539141),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文化博览中心,120.704346,31.323217,0,1号线,1,0,POINT (13436264.59073832 3675060.95932762),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
时代广场,120.713181,31.322437,0,1号线,1,0,POINT (13437246.58651828 3674957.728312382),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
星湖街,120.720431,31.323183,0,1号线,1,0,POINT (13438052.60151116 3675053.788035844),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南施街,120.73313200000001,31.324493,0,1号线,1,0,POINT (13439465.13956183 3675223.01078276),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
星塘街,120.744297,31.325644,0,1号线,1,0,POINT (13440707.44728343 3675372.313320328),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
钟南街,120.756226,31.326506,0,1号线,1,0,POINT (13442035.41953165 3675484.60004797),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
骑河,120.655,31.4377,0,2号线,1,0,POINT (13430781.22115329 3689996.168880895),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
富翔路,120.65100000000001,31.4299,0,2号线,1,0,POINT (13430336.85787288 3688979.674229979),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高铁苏州北站,120.645,31.4218,0,2号线,1,0,POINT (13429670.20942357 3687924.545004874),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大湾,120.633,31.4165,0,2号线,1,0,POINT (13428336.48473888 3687235.675363247),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
