station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
刘园,117.115904,39.207953,0,1号线,1,0,POINT (13036565.80384045 4751328.581435995),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瑞景新苑,117.12186000000001,39.200203,0,1号线,1,0,POINT (13037229.27063382 4750216.610638188),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
佳园里,117.12815800000001,39.191974,0,1号线,1,0,POINT (13037931.03124132 4749036.243214617),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
本溪路,117.13946299999999,39.185432,0,1号线,1,0,POINT (13039191.02803895 4748099.344283869),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
勤俭道,117.153675,39.178342,0,1号线,1,0,POINT (13040775.63958105 4747085.056225073),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
洪湖里,117.16191200000002,39.170889,0,1号线,1,0,POINT (13041694.31265149 4746017.601968777),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西站,117.16679099999999,39.156971,1,1号线,1,0,POINT (13042238.64518972 4744021.844284835),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西北角,117.17166100000001,39.146568,0,1号线,1,0,POINT (13042781.93956364 4742530.719783536),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西南角,117.171996,39.137364,1,1号线,1,0,POINT (13042819.43234227 4741210.575888218),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
二纬路,117.17473700000001,39.130318,0,1号线,1,0,POINT (13043125.23531339 4740200.744544268),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海光寺,117.17753400000001,39.122349,0,1号线,1,0,POINT (13043437.29510516 4739058.66909224),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鞍山道,117.18733600000002,39.120354999999996,0,1号线,1,0,POINT (13044530.48371923 4738775.304398523),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
营口道,117.197685,39.118628,1,1号线,1,0,POINT (13045684.50545992 4738530.198911214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小白楼,117.215406,39.114911,0,1号线,1,0,POINT (13047659.89084857 4738000.833826105),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
下瓦房,117.222893,39.1052,1,1号线,1,0,POINT (13048494.23265995 4736609.671239214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南楼,117.223877,39.095998,0,1号线,1,0,POINT (13048603.98106086 4735290.644065013),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
土城,117.23228300000001,39.089216,0,1号线,1,0,POINT (13049540.33451686 4734319.459934744),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陈塘庄,117.24848899999999,39.083496999999994,0,1号线,1,0,POINT (13051344.43347741 4733500.563207314),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
复兴门,117.260182,39.077205,0,1号线,1,0,POINT (13052645.30736717 4732598.518460166),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华山里,117.261895,39.066159999999996,0,1号线,1,0,POINT (13052835.96450693 4731015.701136574),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
财经大学,117.27691899999999,39.063938,0,1号线,1,0,POINT (13054506.1860109 4730695.738316189),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双林,117.292143,39.057365000000004,0,1号线,1,0,POINT (13056197.67176654 4729751.321608474),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
李楼,117.317171,39.054449,0,1号线,1,0,POINT (13058976.74974932 4729327.495159852),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高庄子,117.36079699999999,39.043101,0,1号线,1,0,POINT (13063820.50832252 4727690.573284742),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北洋村,117.38398799999999,39.028975,0,1号线,1,0,POINT (13066397.78263917 4725663.5332425),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国展路,117.39074699999999,39.021933000000004,0,1号线,1,0,POINT (13067149.49511649 4724654.486708954),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东沽路,117.40839799999999,39.012409000000005,0,1号线,1,0,POINT (13069113.77022759 4723290.466108433),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滨海国际机场,117.362628,39.132115999999996,0,2号线,1,0,POINT (13064022.60721214 4740448.613347539),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
空港经济区,117.335,39.1577,0,2号线,1,0,POINT (13060954.46413563 4744125.420585572),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
国山路,117.31,39.1541,0,2号线,1,0,POINT (13058179.22731751 4743615.698203465),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
登州路,117.296,39.1505,0,2号线,1,0,POINT (13056624.7326581 4743102.594993134),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
屿东城,117.28,39.1472,0,2号线,1,0,POINT (13054847.39218551 4742632.232475095),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翠阜新村,117.258,39.144,0,2号线,1,0,POINT (13052401.68871349 4742175.469293347),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
靖江路,117.244243,39.142520000000005,1,2号线,1,0,POINT (13050871.08237337 4741963.299045113),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
顺驰桥,117.234,39.1414,0,2号线,1,0,POINT (13049730.79992707 4741802.076049007),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
远洋国际中心,117.221,39.1365,0,2号线,1,0,POINT (13048282.89751594 4741097.749086285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天津站,117.211693,39.137783,1,2号线,1,0,POINT (13047245.77884127 4741280.222722664),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
建国道,117.20100000000001,39.139,0,2号线,1,0,POINT (13046053.81415591 4741452.586715199),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东南角,117.190293,39.136881,0,2号线,1,0,POINT (13044860.00256629 4741146.106782473),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
鼓楼,117.181228,39.137127,0,2号线,1,0,POINT (13043849.06849659 4741179.051847517),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西南角,117.171996,39.137364,1,2号线,1,0,POINT (13042819.43234227 4741210.575888218),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广开四马路,117.162,39.1377,0,2号线,1,0,POINT (13041704.5976287 4741256.097055429),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长虹公园,117.14944399999999,39.137806,1,2号线,1,0,POINT (13040304.43900413 4741268.115954807),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
咸阳路,117.135,39.1378,0,2号线,1,0,POINT (13038694.25873058 4741264.090364581),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
芥园西道,117.12,39.1427,0,2号线,1,0,POINT (13037022.91222389 4741964.5195057),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
卞兴,117.109,39.1462,0,2号线,1,0,POINT (13035797.99089887 4742465.534951268),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
曹庄,117.09095400000001,39.1457,0,2号线,1,0,POINT (13033790.10493439 4742393.646960694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小淀,117.25764199999999,39.239186,0,3号线,1,0,POINT (13052360.52995049 4755839.036528802),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丰产河,117.23602,39.23816,0,3号线,1,0,POINT (13049954.35791866 4755691.354395611),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华北集团,117.228,39.2276,0,3号线,1,0,POINT (13049061.39363834 4754173.844176419),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天士力,117.215,39.2059,0,3号线,1,0,POINT (13047613.36797929 4751055.882532005),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宜兴埠,117.219,39.1976,0,3号线,1,0,POINT (13048059.2044695 4749864.931901556),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
张兴庄,117.21481999999999,39.191928000000004,1,3号线,1,0,POINT (13047593.50583011 4749050.016543807),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁东路,117.20700000000001,39.1799,0,3号线,1,0,POINT (13046722.10573615 4747322.118624665),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北站,117.20743799999998,39.166647999999995,1,3号线,1,0,POINT (13046771.11506207 4745420.453064085),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中山路,117.206,39.1618,0,3号线,1,0,POINT (13046610.8907948 4744724.52940324),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金狮桥,117.208,39.1511,0,3号线,1,0,POINT (13046833.97752923 4743189.789112833),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天津站,117.211693,39.137783,1,3号线,1,0,POINT (13047245.77884127 4741280.222722664),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
津湾广场,117.208,39.132,0,3号线,1,0,POINT (13046834.24609891 4740450.073731579),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
和平路,117.205,39.1269,0,3号线,1,0,POINT (13046499.90863492 4739718.039824831),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
营口道,117.197685,39.118628,1,3号线,1,0,POINT (13045684.50545992 4738530.198911214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西康路,117.18799999999999,39.1122,0,3号线,1,0,POINT (13044604.64633599 4737606.144244497),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吴家窑,117.186,39.0998,0,3号线,1,0,POINT (13044381.78380843 4735827.883027717),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天塔,117.178,39.0958,0,3号线,1,0,POINT (13043489.64212398 4735252.379731396),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
周邓纪念馆,117.164,39.0927,0,3号线,1,0,POINT (13041928.28396004 4734804.26573794),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
红旗南路,117.148149,39.092757,1,3号线,1,0,POINT (13040160.6888753 4734808.414572148),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王顶堤,117.139,39.0921,0,3号线,1,0,POINT (13039140.74690646 4734712.193368083),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华苑,117.12899999999999,39.0872,0,3号线,1,0,POINT (13038026.34373008 4734007.96726981),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
