station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
国际机场,87.47450500000001,43.90099,0,1号线,1,0,POINT (9737262.245950641 5449915.31690406),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大地窝堡,87.496534,43.896566,0,1号线,1,0,POINT (9739723.923614278 5449241.276141795),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宣仁墩,87.52245,43.914664,0,1号线,1,0,POINT (9742620.122104593 5452050.945002969),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三工,87.534972,43.910127,0,1号线,1,0,POINT (9744019.087942479 5451354.572835129),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
迎宾路口,87.541841,43.900109,0,1号线,1,0,POINT (9744786.289819071 5449808.355206778),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
植物园,87.54813299999999,43.890863,0,1号线,1,0,POINT (9745488.85494576 5448381.309951032),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
体育中心,87.555159,43.880499,0,1号线,1,0,POINT (9746273.135132406 5446781.7186537),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁路局,87.56223,43.870168,0,1号线,1,0,POINT (9747062.153592337 5445187.231490829),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小西沟,87.566252,43.860248999999996,0,1号线,1,0,POINT (9747510.836594785 5443655.738976032),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中营工,87.57163299999999,43.847756,0,1号线,1,0,POINT (9748110.960912261 5441727.10218437),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新疆图书馆,87.574626,43.840678000000004,0,1号线,1,0,POINT (9748444.679175647 5440634.510167692),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
八楼,87.584515,43.834696,0,1号线,1,0,POINT (9749546.777072446 5439711.998912732),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
王家梁,87.603195,43.837001,0,1号线,1,0,POINT (9751626.746863157 5440068.37310513),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南湖北路,87.612477,43.832828000000006,0,1号线,1,0,POINT (9752659.470358355 5439423.382192449),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南湖广场,87.61347099999999,43.821928,0,1号线,1,0,POINT (9752770.092025915 5437740.433511398),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新兴街,87.614995,43.813621000000005,0,1号线,1,0,POINT (9752939.638488105 5436457.968095853),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北门,87.621989,43.801472,0,1号线,1,0,POINT (9753717.415047625 5434582.008182593),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南门,87.61954,43.790847,0,1号线,1,0,POINT (9753445.185281225 5432942.871251698),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
二道桥,87.61699200000001,43.780632000000004,0,1号线,1,0,POINT (9753161.911549948 5431367.266881509),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新疆大学,87.614063,43.769503,0,1号线,1,0,POINT (9752836.231853306 5429650.979522799),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三屯碑,87.610749,43.761448,0,1号线,1,0,POINT (9752467.658100383 5428409.043428524),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
