station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
桐岭,120.568499,27.920579999999998,0,S1线,1,0,POINT (13421185.25070589 3239391.904383749),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
潘桥,120.573846,27.940693,0,S1线,1,0,POINT (13421781.28026578 3241927.357335007),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
动车南站,120.583876,27.96701,0,S1线,1,0,POINT (13422898.97397325 3245245.616254149),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新桥,120.62758000000001,27.9774,0,S1线,1,0,POINT (13427763.39235323 3246553.696270554),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
德政,120.649951,27.97583,0,S1线,1,0,POINT (13430250.07465563 3246351.607400972),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙霞路,120.669738,27.979224,0,S1线,1,0,POINT (13432448.50646269 3246774.90843638),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
惠民路,120.69690200000001,27.979537,0,S1线,1,0,POINT (13435466.51100924 3246808.075558151),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三垟湿地,120.713926,27.972967999999998,0,S1线,1,0,POINT (13437358.68391884 3245976.714917887),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙腾路,120.762868,27.958609000000003,0,S1线,1,0,POINT (13442804.6598087 3244163.940736162),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
科技城,120.784375,27.954633,0,S1线,1,0,POINT (13445201.15928778 3243665.058300382),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瑶溪,120.78305900000001,27.930458,0,S1线,1,0,POINT (13445054.66730252 3240617.984435291),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
奥体中心,120.810919,27.915521000000002,0,S1线,1,0,POINT (13448161.37193922 3238741.029016427),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
永中,120.827978,27.908405,0,S1线,1,0,POINT (13450064.32086232 3237848.396710191),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
机场,120.84680700000001,27.905863,0,S1线,1,0,POINT (13452164.61968211 3237532.493740486),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
灵昆,120.89204199999999,27.953129999999998,0,S1线,1,0,POINT (13457206.09847434 3243495.799500032),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瓯江口,120.91990200000001,27.940369,0,S1线,1,0,POINT (13460306.57321412 3241886.744628493),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
瓯华,120.93488,27.930515999999997,0,S1线,1,0,POINT (13461971.65065017 3240642.848746379),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
双瓯大道,120.95085700000001,27.919864,0,S1线,1,0,POINT (13463746.47733154 3239296.939934547),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
