line,length,Cement,Steel,Total
11号线,21431.167214940167,394011.79493500286,2443.153062503179,396455.16230917815
1号线,43011.524095601955,790766.4403824011,4903.313746898623,795670.1842445405
21号线(阳逻线),38835.37457442059,713987.9731969768,4427.2327014839475,718415.5942522065
2号线,62919.89289713464,1156781.6017148914,7172.867790273349,1163955.0987040936
3号线,33132.191553151926,609135.0103827827,3777.0698370593195,612912.4115417574
4号线,55648.62638912481,1023099.4396777957,6343.943408360228,1029443.9395724199
6号线,38982.56597189567,716694.0855676422,4444.012520796106,721138.487914098
7号线,52260.361417241,960806.2220523617,5957.681201565474,966764.4258575413
8号线,18498.342502002626,340091.8419158933,2108.811045228299,342200.8379445466
8号线(军运专线),5195.731852103565,95523.47814360553,592.3134311398064,96115.84353206384
