station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
汉口北,114.329481,30.711953,0,1号线,1,0,POINT (12726488.18846347 3595696.428768213),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滠口新城,114.342372,30.684553,0,1号线,1,0,POINT (12727921.15891352 3592147.659721515),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
滕子岗,114.341474,30.674527,0,1号线,1,0,POINT (12727821.44827832 3590850.718116174),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
堤角,114.338273,30.665863,0,1号线,1,0,POINT (12727465.76490699 3589730.647212913),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新荣,114.33453300000001,30.655893,0,1号线,1,0,POINT (12727050.19952956 3588441.87909696),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
丹水池,114.330017,30.643386,0,1号线,1,0,POINT (12726548.42327848 3586825.307569369),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
徐州新村,114.32293600000001,30.631171000000002,0,1号线,1,0,POINT (12725761.57455593 3585247.325497327),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
二七路,114.318749,30.625032,0,1号线,1,0,POINT (12725296.28651968 3584454.479006223),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
头道街,114.313923,30.617818,0,1号线,1,0,POINT (12724759.96590662 3583522.811698459),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄浦路,114.30815600000001,30.608403999999997,1,1号线,1,0,POINT (12724119.03020757 3582306.944016856),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三阳路,114.301348,30.598717999999998,1,1号线,1,0,POINT (12723362.29541017 3581056.176955043),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大智路,114.29503799999999,30.592581,1,1号线,1,0,POINT (12722660.77806886 3580264.091184455),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
循礼门,114.285992,30.585234000000003,1,1号线,1,0,POINT (12721654.84578563 3579315.980697297),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
友谊路,114.278415,30.580865000000003,0,1号线,1,0,POINT (12720812.01456272 3578752.368206179),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
利济北路,114.270119,30.577433000000003,0,1号线,1,0,POINT (12719888.91217146 3578309.723896563),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
崇仁路,114.261901,30.573909000000004,0,1号线,1,0,POINT (12718974.17745576 3577854.887425186),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
硚口路,114.25044399999999,30.571547,0,1号线,1,0,POINT (12717698.34033847 3577549.967981566),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
太平洋,114.24074099999999,30.574025,0,1号线,1,0,POINT (12716617.27255411 3577870.055995824),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
宗关,114.224975,30.580306,1,1号线,1,0,POINT (12714859.69627216 3578680.63600195),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汉西一路,114.218822,30.585490999999998,0,1号线,1,0,POINT (12714173.43564251 3579350.062410987),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古田四路,114.211532,30.589346999999997,0,1号线,1,0,POINT (12713360.18595861 3579847.380296426),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古田三路,114.20473999999999,30.593382000000002,0,1号线,1,0,POINT (12712602.31399649 3580367.764135743),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古田二路,114.19666699999999,30.597535999999998,0,1号线,1,0,POINT (12711701.32524284 3580903.139986035),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古田一路,114.183062,30.604521000000002,0,1号线,1,0,POINT (12710182.5990385 3581803.095585171),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
舵落口,114.16946399999999,30.609907,0,1号线,1,0,POINT (12708664.44940612 3582496.163254975),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
竹叶海,114.163868,30.615064,0,1号线,1,0,POINT (12708039.6491781 3583161.59227672),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
额头湾,114.155941,30.61846,0,1号线,1,0,POINT (12707154.67190999 3583598.829671544),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五环大道,114.138907,30.617698999999998,0,1号线,1,0,POINT (12705253.45037925 3583496.81085317),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东吴大道,114.12856699999999,30.624968,0,1号线,1,0,POINT (12704099.70829592 3584434.980219218),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
码头潭公园,114.123644,30.631684000000003,0,1号线,1,0,POINT (12703550.51017517 3585302.774179217),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三店,114.120804,30.649055999999998,0,1号线,1,0,POINT (12703233.60003126 3587549.160481536),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
径河,114.120828,30.659055,0,1号线,1,0,POINT (12703236.17723989 3588842.511705493),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
佛祖岭,114.439777,30.438671000000003,0,2号线,1,0,POINT (12738767.61684462 3560366.499823069),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
藏龙东街,114.42965500000001,30.437026,0,2号线,1,0,POINT (12737638.50284153 3560152.277597647),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
秀湖,114.421034,30.447746999999996,0,2号线,1,0,POINT (12736677.14529835 3561535.132326439),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金融港北,114.42041599999999,30.461963,0,2号线,1,0,POINT (12736608.11564519 3563370.456415684),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄龙山路,114.42993600000001,30.477465000000002,0,2号线,1,0,POINT (12737669.45070979 3565373.409431208),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
光谷火车站,114.43175500000001,30.486956,1,2号线,1,0,POINT (12737872.23499975 3566599.376493434),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
