station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
堰桥,120.31491000000001,31.675557,0,1号线,1,0,POINT (13392879.22571134 3721042.551804109),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
锡北运河,120.31487800000001,31.662275,0,1号线,1,0,POINT (13392875.79711588 3719305.216724844),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西漳,120.303648,31.645834999999998,0,1号线,1,0,POINT (13391627.56470899 3717157.776978516),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天一,120.304345,31.637838000000002,0,1号线,1,0,POINT (13391705.13219089 3716111.915802991),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
刘潭,120.304405,31.626619,0,1号线,1,0,POINT (13391711.91083926 3714645.046396121),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
庄前,120.304897,31.609833000000002,0,1号线,1,0,POINT (13391766.77082055 3712450.574643231),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
民丰,120.30353899999999,31.600949,0,1号线,1,0,POINT (13391615.87850688 3711289.685707072),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
无锡火车站,120.306767,31.589407,0,1号线,1,0,POINT (13391974.86045577 3709780.540734892),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
胜利门,120.299901,31.581945,0,1号线,1,0,POINT (13391211.57723923 3708806.950017485),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三阳广场,120.299815,31.575787,1,1号线,1,0,POINT (13391202.07421804 3708002.336352914),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南禅寺,120.30616100000002,31.567481,0,1号线,1,0,POINT (13391907.70150279 3706915.743816928),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
谈渡桥,120.305131,31.562049,0,1号线,1,0,POINT (13391793.24527795 3706206.32556882),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
太湖广场,120.30521200000001,31.555193,0,1号线,1,0,POINT (13391802.31627518 3705310.688390321),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
清名桥,120.311299,31.549239,0,1号线,1,0,POINT (13392479.05080717 3704531.558867579),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民医院,120.3193,31.541930999999998,0,1号线,1,0,POINT (13393368.47480297 3703575.110417276),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华清大桥,120.32798899999999,31.533799,0,1号线,1,0,POINT (13394334.30843792 3702510.906275035),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
扬名,120.3245,31.521122,0,1号线,1,0,POINT (13393946.64424373 3700856.361963471),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南湖家园,120.32416699999999,31.509787,0,1号线,1,0,POINT (13393909.74168565 3699376.485337942),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
塘铁桥,120.32588799999999,31.500782,0,1号线,1,0,POINT (13394101.11047143 3698200.456788125),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金匮公园,120.32020800000001,31.493467,0,1号线,1,0,POINT (13393469.8649638 3697246.99111363),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市民中心,120.305158,31.491101,0,1号线,1,0,POINT (13391796.92785185 3696941.725429499),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文化宫,120.291179,31.490014000000002,0,1号线,1,0,POINT (13390242.55949494 3696802.710800359),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
江南大学,120.27876299999998,31.483933,0,1号线,1,0,POINT (13388861.47058185 3696011.014398367),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长广溪,120.27738799999999,31.473366,0,1号线,1,0,POINT (13388708.57887754 3694632.118823249),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
雪浪,120.279623,31.459934000000004,0,1号线,1,0,POINT (13388957.38544078 3692879.080654512),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
葛埭桥,120.274227,31.447770000000002,0,1号线,1,0,POINT (13388357.0755616 3691292.745455943),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南方泉,120.270275,31.436882,0,1号线,1,0,POINT (13387917.34810191 3689872.817465828),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
无锡东站,120.460118,31.596981,0,2号线,1,0,POINT (13409048.07707421 3710762.609452355),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
迎宾广场,120.454474,31.591617,0,2号线,1,0,POINT (13408417.8641838 3710059.912457855),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
映月湖公园,120.449698,31.587221000000003,0,2号线,1,0,POINT (13407884.67559202 3709484.123305346),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
查桥,120.431377,31.581120000000002,0,2号线,1,0,POINT (13405840.24451142 3708682.894662822),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
九里河公园,120.40861899999999,31.580374,0,2号线,1,0,POINT (13403303.15384214 3708583.075042528),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
云林,120.39503,31.579535999999997,0,2号线,1,0,POINT (13401789.63021479 3708473.618262783),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
庄桥,120.37907299999999,31.578104999999997,0,2号线,1,0,POINT (13400013.60424644 3708287.968885832),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东亭,120.363665,31.582134000000003,0,2号线,1,0,POINT (13398299.70834403 3708816.831366956),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
柏庄,120.351078,31.585996999999995,0,2号线,1,0,POINT (13396900.19357027 3709324.212067631),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广益,120.341347,31.586565999999998,0,2号线,1,0,POINT (13395818.49774432 3709400.83392076),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
靖海,120.33041399999999,31.583353000000002,0,2号线,1,0,POINT (13394603.35614325 3708983.674905161),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上马墩,120.32076699999999,31.582365999999997,0,2号线,1,0,POINT (13393531.14126231 3708857.109790356),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东林广场,120.30839399999999,31.578478999999998,0,2号线,1,0,POINT (13392155.83734958 3708352.180583552),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三阳广场,120.299815,31.575787,1,2号线,1,0,POINT (13391202.07421804 3708002.336352914),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五爱广场,120.29055100000001,31.573626,0,2号线,1,0,POINT (13390171.91447721 3707721.808400731),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
梁溪大桥,120.28636999999999,31.567255,0,2号线,1,0,POINT (13389706.94150864 3706890.159006576),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
大王基,120.27566599999999,31.564803,0,2号线,1,0,POINT (13388516.09080845 3706571.381954595),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
河埒口,120.26086299999999,31.562011,0,2号线,1,0,POINT (13386868.36325678 3706207.97076583),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
小桃源,120.24947,31.5592,0,2号线,1,0,POINT (13385599.47973895 3705841.066302923),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
荣巷,120.236493,31.556646999999998,0,2号线,1,0,POINT (13384153.37780368 3705507.13965694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
梅园开原寺,120.21958500000001,31.550947999999998,0,2号线,1,0,POINT (13382268.03071558 3704760.962977815),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
