station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
镇海路,118.08273100000001,24.450421,0,1号线,1,0,POINT (13144355.76214229 2808714.196726843),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
中山公园,118.089887,24.456007,0,1号线,1,0,POINT (13145152.2360035 2809396.979824299),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
将军祠,118.09983500000001,24.460767,0,1号线,1,0,POINT (13146259.95055169 2809979.03800865),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文灶,118.10338,24.467876999999998,0,1号线,1,0,POINT (13146654.77197365 2810848.823474345),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湖滨东路,118.110656,24.474027,0,1号线,1,0,POINT (13147465.39959292 2811601.484936496),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
莲坂,118.118196,24.476107,0,1号线,1,0,POINT (13148305.74596469 2811856.560485661),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
莲花路口,118.12285700000001,24.483483,0,1号线,1,0,POINT (13148825.30302226 2812759.432299561),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吕厝,118.127959,24.490679999999998,1,1号线,1,0,POINT (13149394.12936263 2813640.605047359),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
乌石浦,118.12651799999999,24.498916,0,1号线,1,0,POINT (13149233.37840731 2814648.076281874),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
塘边,118.122619,24.506304,0,1号线,1,0,POINT (13148798.5856452 2815551.545477862),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
火炬园,118.11878300000001,24.51185,0,1号线,1,0,POINT (13148370.89450609 2816229.736378343),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
殿前,118.11617,24.524893,0,1号线,1,0,POINT (13148079.52363881 2817825.551312107),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高崎,118.11683300000001,24.53753,0,1号线,1,0,POINT (13148153.32286162 2819372.137983608),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
集美学村,118.09231799999999,24.563899,0,1号线,1,0,POINT (13145422.02359003 2822598.828197135),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
园博苑,118.06716200000001,24.569925,0,1号线,1,0,POINT (13142622.81653547 2823339.015502885),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
杏林村,118.06140400000001,24.577444,0,1号线,1,0,POINT (13141982.52655565 2824260.528905519),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
杏锦路,118.05736200000001,24.581477,0,1号线,1,0,POINT (13141533.16509609 2824755.100311119),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
官任,118.05858799999999,24.593632999999997,0,1号线,1,0,POINT (13141669.34750009 2826243.085923535),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
诚毅广场,118.054048,24.603706,0,1号线,1,0,POINT (13141164.64460315 2827477.426321336),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
集美软件园,118.04793400000001,24.613351,0,1号线,1,0,POINT (13140485.14457252 2828659.947541002),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
集美大道,118.055548,24.620221,0,1号线,1,0,POINT (13141331.22663692 2829499.348427632),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天水路,118.066175,24.625994,0,1号线,1,0,POINT (13142512.60991094 2830204.174142399),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
厦门北站,118.07412,24.636134,0,1号线,1,0,POINT (13143396.17166005 2831444.772600954),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
岩内,118.07028600000001,24.64303,0,1号线,1,0,POINT (13142969.6567666 2832289.901457538),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天竺山,117.93683600000001,24.578677,0,2号线,1,0,POINT (13128147.57598941 2824450.027308713),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东孚,117.94753200000001,24.566354,0,2号线,1,0,POINT (13129336.57908785 2822939.179037645),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新阳大道,117.99531200000001,24.537185,0,2号线,1,0,POINT (13134642.77574737 2819353.5381177),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
新垵,118.00593300000001,24.530788,0,2号线,1,0,POINT (13135821.78601055 2818566.71407992),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
翁角路,118.014494,24.526134,0,2号线,1,0,POINT (13136772.16292675 2817994.034134045),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
马青路,118.03010900000001,24.493865,0,2号线,1,0,POINT (13138506.13124039 2814040.122147616),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海沧行政中心,118.033102,24.487526000000003,0,2号线,1,0,POINT (13138838.56134428 2813263.607547107),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海沧商务中心,118.039363,24.480889,0,2号线,1,0,POINT (13139534.00754441 2812449.714702277),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海沧湾公园,118.05028700000001,24.484648,0,2号线,1,0,POINT (13140747.63301519 2812906.597068079),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
邮轮中心,118.077155,24.484959,0,2号线,1,0,POINT (13143735.02778602 2812939.664084881),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
建业路,118.084018,24.478127,0,2号线,1,0,POINT (13144498.77274951 2812103.18794576),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湖滨中路,118.09474399999999,24.480508,0,2号线,1,0,POINT (13145692.82105812 2812393.957590006),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
体育中心,118.106182,24.483731,0,2号线,1,0,POINT (13146966.80646681 2812788.394311435),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
育秀东路,118.11446699999999,24.485878,0,2号线,1,0,POINT (13147890.02256292 2813051.581017986),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
吕厝,118.127959,24.490679999999998,1,2号线,1,0,POINT (13149394.12936263 2813640.605047359),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
江头,118.137644,24.492429,0,2号线,1,0,POINT (13150474.28149466 2813856.133319594),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
后埔,118.147357,24.489391,0,2号线,1,0,POINT (13151557.88730718 2813486.290685865),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
蔡塘,118.153481,24.487156,0,2号线,1,0,POINT (13152241.21360296 2813214.133078708),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
古地石,118.163646,24.485644,0,2号线,1,0,POINT (13153375.55555594 2813031.413527373),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
岭兜,118.17386,24.484305,0,2号线,1,0,POINT (13154515.44186059 2812869.954229114),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
软件园二期,118.18516399999999,24.480522,0,2号线,1,0,POINT (13155776.9581045 2812409.725233019),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
何厝,118.19266999999999,24.4852,0,2号线,1,0,POINT (13156614.48134607 2812983.662364092),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
观音山,118.19278999999999,24.493542,0,2号线,1,0,POINT (13156627.80521219 2814004.290138049),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东宅,118.192874,24.499103,0,2号线,1,0,POINT (13156637.13408155 2814684.701725374),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
两岸金融中心,118.193991,24.505456,0,2号线,1,0,POINT (13156761.71605271 2815462.264182381),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五通,118.18956200000001,24.511615,0,2号线,1,0,POINT (13156267.47727071 2816214.945619641),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
湿地公园,118.183577,24.516475,0,2号线,1,0,POINT (13155599.57802987 2816808.321305305),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
钟宅,118.17303500000001,24.523927,0,2号线,1,0,POINT (13154423.05866334 2817717.817117185),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五缘湾,118.16644099999999,24.532908,0,2号线,1,0,POINT (13153687.09786762 2818815.373069782),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
