station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
沣河森林公园,108.753079,34.320229,0,1号线,1,0,POINT (12105810.93853721 4072073.282320994),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北槐,108.763291,34.317347,0,1号线,1,0,POINT (12106947.61016441 4071685.410320466),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
上林路,108.77761799999999,34.313193,0,1号线,1,0,POINT (12108543.14419995 4071127.209903986),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沣东自贸园,108.79676,34.307257,0,1号线,1,0,POINT (12110676.21882283 4070330.818330132),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
后卫寨,108.81353600000001,34.300164,0,1号线,1,0,POINT (12112546.54581327 4069379.158000254),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
三桥,108.83221200000001,34.289958,0,1号线,1,0,POINT (12114629.15590283 4068009.19913978),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
皂河,108.85242,34.284382,0,1号线,1,0,POINT (12116882.32340616 4067263.105441715),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
枣园,108.862601,34.279195,0,1号线,1,0,POINT (12118017.16215458 4066566.68672619),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
汉城路,108.873971,34.273042,0,1号线,1,0,POINT (12119284.09680885 4065740.042141689),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
开远门,108.892467,34.269363,0,1号线,1,0,POINT (12121343.72555441 4065246.517932466),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
劳动路,108.90978100000001,34.26954,0,1号线,1,0,POINT (12123269.98067812 4065270.397502465),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
玉祥门,108.920911,34.269614000000004,0,1号线,1,0,POINT (12124507.28640888 4065279.443774215),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
洒金桥,108.933825,34.269705,0,1号线,1,0,POINT (12125941.97913292 4065289.699409332),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北大街,108.94716499999998,34.269927,1,1号线,1,0,POINT (12127422.99808903 4065316.534082612),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五路口,108.962896,34.270019,1,1号线,1,0,POINT (12129168.33068533 4065324.182588816),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
朝阳门,108.974075,34.269971000000005,0,1号线,1,0,POINT (12130408.0270677 4065313.755458599),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
康复路,108.98446799999999,34.269484999999996,0,1号线,1,0,POINT (12131560.24524945 4065244.313141636),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
通化门,108.995383,34.269754999999996,1,1号线,1,0,POINT (12132770.12760403 4065276.269407561),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
万寿路,109.013057,34.269596,0,1号线,1,0,POINT (12134729.15002392 4065247.668613008),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
长乐坡,109.030418,34.272090000000006,0,1号线,1,0,POINT (12136653.88167183 4065576.865883327),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
浐河,109.04443,34.27398,0,1号线,1,0,POINT (12138208.00576988 4065826.701199948),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
半坡,109.05613100000001,34.275484000000006,0,1号线,1,0,POINT (12139506.46282572 4066025.989597579),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
纺织城,109.069723,34.279456,0,1号线,1,0,POINT (12141015.64036075 4066558.010666665),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
韦曲南,108.94551299999999,34.142117,0,2号线,1,0,POINT (12127240.79565053 4048118.974486512),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
航天城,108.944668,34.158006,0,2号线,1,0,POINT (12127146.86047538 4050255.884667848),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
凤栖原,108.94520700000001,34.169216,0,2号线,1,0,POINT (12127206.58720071 4051763.454947553),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
