station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
河南工业大学,113.542174,34.826597,0,1号线,1,0,POINT (12638772.16877174 4140483.60394139),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
郑大科技园,113.54186499999999,34.816734999999994,0,1号线,1,0,POINT (12638737.77862143 4139147.601827359),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
郑州大学,113.54144299999999,34.807581,0,1号线,1,0,POINT (12638690.7608057 4137907.604092558),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
梧桐街,113.540929,34.794393,0,1号线,1,0,POINT (12638633.51560847 4136121.417686994),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
兰寨,113.541,34.783442,0,1号线,1,0,POINT (12638641.57300568 4134638.571360635),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
铁炉,113.54079499999999,34.768091,1,1号线,1,0,POINT (12638618.85985713 4132560.144744706),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市民中心,113.553932,34.762054,0,1号线,1,0,POINT (12640085.62777661 4131746.673386982),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西流湖,113.57018799999999,34.761134999999996,0,1号线,1,0,POINT (12641899.37552272 4131625.708599374),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
西三环,113.588175,34.760193,0,1号线,1,0,POINT (12643904.51824799 4131500.195422904),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
秦岭路,113.60331399999998,34.7568,0,1号线,1,0,POINT (12645590.73578064 4131041.074050831),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
五一公园,113.61430800000001,34.755827000000004,1,1号线,1,0,POINT (12646814.45318198 4130908.657536053),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
碧沙岗,113.62437299999999,34.75504,0,1号线,1,0,POINT (12647934.22864177 4130800.9225169),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
绿城广场,113.633548,34.747475,0,1号线,1,0,POINT (12648954.67780399 4129775.476266706),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
医学院,113.64260800000001,34.747529,0,1号线,1,0,POINT (12649961.94624309 4129780.978298755),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
郑州火车站,113.656168,34.746627000000004,0,1号线,1,0,POINT (12651469.11018037 4129655.750229284),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
二七广场,113.66585400000001,34.752527,0,1号线,1,0,POINT (12652545.42765433 4130451.862231111),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
人民路,113.67386499999999,34.757566,0,1号线,1,0,POINT (12653435.57714997 4131131.853631008),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
紫荆山,113.68206399999998,34.762176000000004,1,1号线,1,0,POINT (12654346.64742033 4131753.775737206),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
燕庄,113.703396,34.76339,0,1号线,1,0,POINT (12656717.69715307 4131913.094652009),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
民航路,113.715814,34.763954,0,1号线,1,0,POINT (12658098.57308172 4131987.108016818),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
会展中心,113.72573799999999,34.766727,0,1号线,1,0,POINT (12659202.53922894 4132361.06676926),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄河南路,113.74451299999998,34.762859999999996,0,1号线,1,0,POINT (12661292.5022438 4131836.128103398),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
农业南路,113.75532700000001,34.765423,0,1号线,1,0,POINT (12662497.04382395 4132183.054035259),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东风南路,113.767132,34.76445,0,1号线,1,0,POINT (12663812.70820017 4132051.982164694),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
郑州东站,113.77709899999999,34.759251,1,1号线,1,0,POINT (12664924.11659814 4131349.27556603),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
博学路,113.79253500000002,34.759935,0,1号线,1,0,POINT (12666646.12477262 4131444.365474796),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
市体育中心,113.810399,34.7731,0,1号线,1,0,POINT (12668639.86471664 4133230.457041872),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
龙子湖,113.810497,34.792726,0,1号线,1,0,POINT (12668650.57634109 4135887.843338497),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
文苑北路,113.81219899999999,34.808446999999994,0,1号线,1,0,POINT (12668840.40291614 4138017.303701913),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
河南大学新区,113.81265900000001,34.820707,0,1号线,1,0,POINT (12668891.61481976 4139678.017510972),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
贾河,113.59326599999999,34.867408000000005,0,2号线,1,0,POINT (12644470.45555844 4146022.472299383),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
惠济区政府,113.611847,34.866048,0,2号线,1,0,POINT (12646539.30302985 4145837.612013223),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
毛庄,113.62624699999999,34.866549,0,2号线,1,0,POINT (12648141.37014115 4145903.80685888),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄河迎宾馆,113.644402,34.867239,0,2号线,1,0,POINT (12650159.97380888 4145993.892860175),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金洼,113.66257,34.866934,0,2号线,1,0,POINT (12652179.15488151 4145948.184943539),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金达路,113.67935800000001,34.862559000000005,0,2号线,1,0,POINT (12654044.75503967 4145350.90969955),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
刘庄,113.678979,34.843779,0,2号线,1,0,POINT (12654002.85882422 4142806.149338856),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
柳林,113.681284,34.828431,0,2号线,1,0,POINT (12654259.18874984 4140726.176671419),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙门,113.68171000000001,34.819445,0,2号线,1,0,POINT (12654306.63541301 4139508.794395231),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
北三环,113.681518,34.804971,0,2号线,1,0,POINT (12654285.4685536 4137548.409601911),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东风路,113.681655,34.795852000000004,0,2号线,1,0,POINT (12654300.80033499 4136313.415822078),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
关虎屯,113.681665,34.789133,0,2号线,1,0,POINT (12654301.99047953 4135403.560976535),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄河路,113.682045,34.77391,1,2号线,1,0,POINT (12654344.39837737 4133342.299900746),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
紫荆山,113.68206399999998,34.762176000000004,1,2号线,1,0,POINT (12654346.64742033 4131753.775737206),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
东大街,113.682025,34.747523,0,2号线,1,0,POINT (12654342.48504534 4129770.393044051),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
陇海东路,113.682045,34.738224,0,2号线,1,0,POINT (12654344.81655542 4128511.86758604),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
二里岗,113.68204899999999,34.728903,0,2号线,1,0,POINT (12654345.37019912 4127250.499571963),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南五里堡,113.68118,34.720319,1,2号线,1,0,POINT (12654248.89897018 4126089.204085758),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
花寨,113.68223799999998,34.705974,0,2号线,1,0,POINT (12654366.64208731 4124148.133240805),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南三环,113.682325,34.698847,0,2号线,1,0,POINT (12654376.39377507 4123183.980622285),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
站马屯,113.682446,34.684327,0,2号线,1,0,POINT (12654390.01028886 4121219.938867995),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
南四环,113.681898,34.662762,1,2号线,1,0,POINT (12654329.36263941 4118303.720201625),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
月季公园,113.622992,34.765726,0,5号线,1,1,POINT (12647780.49163324 4132247.638448921),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
沙口路,113.640426,34.770540999999994,0,5号线,1,1,POINT (12649719.11331336 4132896.433439679),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
海滩寺,113.650489,34.774229,0,5号线,1,1,POINT (12650837.63316311 4133393.492748998),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
郑州人民医院,113.667203,34.774602,0,5号线,1,1,POINT (12652695.07565469 4133439.822666713),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
黄河路,113.682045,34.77391,1,5号线,1,1,POINT (12654344.39837737 4133342.299900746),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
省人民医院,113.693327,34.774638,0,5号线,1,1,POINT (12655598.26065583 4133438.084871682),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
