id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
28642,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28882,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29374,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29609,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29863,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30076,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30084,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30089,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30093,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30109,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30561,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30600,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31290,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31776,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32016,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32252,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32254,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32257,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32737,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33466,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34195,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34680,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35897,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35901,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36146,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
