id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
23298,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25664,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27496,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29064,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30636,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32997,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33727,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33731,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34010,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34054,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34308,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34515,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34522,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34798,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35032,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35040,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35289,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35300,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35312,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35348,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35371,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35578,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36163,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36638,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
37181,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37219,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37953,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38275,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38803,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39858,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40332,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40847,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40913,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41180,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41185,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41455,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41491,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41641,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41701,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41725,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41742,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41759,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41995,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43218,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43531,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
44000,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
45052,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45054,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45319,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45840,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45889,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
46628,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
46639,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
46919,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47153,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47174,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47177,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47185,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47191,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47428,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47465,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47678,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47721,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47953,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47960,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
