id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
20108,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
21790,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
23472,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25716,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26216,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26219,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27345,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27957,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29031,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30154,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30764,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31838,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31847,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31851,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31854,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32418,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32961,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32967,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32980,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33005,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33013,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33016,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33018,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33022,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33028,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33560,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33563,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34083,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34087,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34118,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34152,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34632,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34664,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35188,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35198,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35200,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35236,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
35747,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35766,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35793,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35794,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
35835,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36306,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36346,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36350,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36865,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36891,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36893,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36896,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36901,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36905,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
37476,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38026,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38030,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38548,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38585,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39101,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39148,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
39150,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
