id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
78983,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81122,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83685,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84107,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
85388,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
86673,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
87478,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
87958,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
88762,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
89242,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
89670,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
90902,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
90955,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
92668,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
93467,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
94380,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
95173,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96880,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99442,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100725,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102436,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
105433,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
106286,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
