id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
7565,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
9466,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
10728,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
12838,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
13473,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
14107,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
14951,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
15583,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
16638,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
17272,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
18751,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
19595,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
20229,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
20864,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
22134,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
22759,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
23189,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
23192,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
23406,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
23410,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
23830,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
24049,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
24744,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25327,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25376,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25540,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25584,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
25972,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26003,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26213,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26229,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26390,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26394,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26409,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26605,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
26634,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26827,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26839,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26843,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26863,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27026,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27244,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27249,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27273,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27276,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27281,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27479,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
27629,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27662,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27838,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27882,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28055,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28079,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28084,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28086,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
28260,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28270,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28287,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28301,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
28303,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28510,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28725,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28749,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28893,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28930,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28932,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28934,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
28936,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
29151,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29155,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29158,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29161,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29166,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29349,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29352,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29360,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29376,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29551,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29570,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29771,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29978,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29993,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29996,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30403,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30406,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30420,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30614,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30829,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30840,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31056,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31463,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
31481,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31678,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31685,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
31887,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31906,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32104,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32109,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32304,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32306,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32324,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32326,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32330,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32491,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32521,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32541,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
32727,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32947,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
32957,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32970,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33124,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33162,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33165,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33173,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33179,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33572,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33607,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33758,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33993,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34022,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34028,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34031,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34180,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34253,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34256,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34471,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34601,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34667,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34670,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34672,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34876,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35233,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35508,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35515,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35535,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35654,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35941,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36365,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36385,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36993,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37849,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39115,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41874,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43572,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
43598,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
44434,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
44670,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
44854,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45524,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
46552,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47227,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
48499,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
49136,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
49527,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
50408,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
51044,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54189,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61818,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64783,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
