id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
150659,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
151753,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
151757,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
152299,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
152310,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
152314,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
152316,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
152867,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
153404,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
153967,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
154503,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
155064,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
156151,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157231,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157236,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157239,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157250,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157274,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157770,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157773,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157777,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157792,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
157809,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158343,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158347,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158359,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158375,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158865,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
158898,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
158911,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
159997,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
160023,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160548,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160550,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160552,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160556,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160558,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
160561,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160563,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160565,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160568,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
160569,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
161642,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
161655,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
162752,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
163289,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
163302,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
163838,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
164936,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
165500,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
166583,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
166598,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
167682,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
168246,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
168780,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
168796,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
169880,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
170443,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
171529,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
172090,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
172628,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
