id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
26851,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
26857,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27082,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27112,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27604,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27617,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27811,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
27840,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28361,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28375,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
28565,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29117,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29132,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29351,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29857,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29874,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
29890,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30160,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30415,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30585,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30615,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30646,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
30883,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31173,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31336,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31343,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
31388,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31400,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31656,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
31876,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31882,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31908,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
31914,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
31930,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32104,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
32131,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32145,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32154,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32388,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32412,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
32418,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32683,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32902,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32910,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
32917,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
32922,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33145,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33187,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33323,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33326,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33375,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33421,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33598,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33650,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33658,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33678,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33838,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33841,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33918,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33924,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
33930,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
33943,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34097,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34155,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34390,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34414,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34422,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34427,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34439,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34441,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34445,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34447,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34451,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34454,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34456,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34645,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34676,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34685,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34689,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34900,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34911,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34919,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34925,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
34930,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
34932,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34934,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34951,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
34974,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35155,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35181,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35190,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35222,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35415,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35426,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35440,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35455,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35465,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35467,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35472,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35662,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35676,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35681,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35683,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
35686,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35713,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35919,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
35924,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35941,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
35958,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36168,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36182,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36184,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36186,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36189,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36192,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36194,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36207,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36213,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36425,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36432,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36659,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36681,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36684,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36687,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36690,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36709,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36903,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36906,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36925,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36926,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
36931,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
36938,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36942,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
36946,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36951,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36959,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
36965,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37166,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37181,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37184,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37189,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37208,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37422,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37425,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37429,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
37432,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
37440,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
37444,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
37454,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
37458,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37464,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37697,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37699,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
37708,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
37714,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37941,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
37948,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
37962,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38172,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38186,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
38189,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
38197,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38202,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
38206,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38213,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38217,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38428,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38431,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38446,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38448,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
38452,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
38495,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38500,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38687,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38690,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38704,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38707,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38710,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38714,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38717,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
38722,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38725,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38739,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38949,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
38954,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
38986,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39198,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
39204,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39211,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39220,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39228,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
39235,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39440,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39443,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39445,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39447,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
39454,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39460,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39462,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39509,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39527,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39674,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
39676,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39689,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39703,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
39709,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39722,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39730,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39772,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39920,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39922,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39933,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39938,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39959,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
39976,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39980,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40001,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40169,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40204,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
40208,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40212,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40220,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40224,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40249,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40270,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40459,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40470,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40474,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40484,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40486,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40664,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40667,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40695,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40711,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40712,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40725,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40732,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40746,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40751,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40958,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40967,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
40972,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40975,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40981,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
40992,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41197,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41205,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41211,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41214,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41217,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41229,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41246,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41301,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41416,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41447,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41454,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41460,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41472,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41637,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41644,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41650,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41660,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41709,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41724,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41732,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41738,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41950,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41954,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41960,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
41969,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
41972,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
42003,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
42233,842218.8,65112.68,2715.6,17464.0,12149.76,18.16,874568
42247,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
42260,631664.1000000001,48834.51,2036.6999999999998,13098.0,9112.32,13.620000000000001,655926
42311,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
42451,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
42489,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
42491,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
