id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
86556,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
87221,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
88214,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
88877,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
89543,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
90541,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
92202,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
93531,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
93846,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
94527,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
94844,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
95191,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
95516,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
95856,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96174,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96196,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96512,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
96515,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96518,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96522,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
96525,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96840,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
96864,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
97186,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
97519,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
97530,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
97839,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98184,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98490,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98501,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98528,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
98532,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98817,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98825,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98847,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98853,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
98855,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99160,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99166,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99182,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99191,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99480,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99495,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
99502,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99510,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
99836,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99839,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
99855,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100158,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100175,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100476,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100489,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
100849,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101137,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101153,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101171,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101516,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101786,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101789,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101793,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
101797,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102145,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102167,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102182,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102810,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
102832,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
103182,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
103499,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
103503,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
103511,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
103839,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104160,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104473,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104488,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104490,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104496,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104508,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104808,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
104817,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
105146,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
105174,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
105493,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
106160,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
106494,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
