id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
49084,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
49767,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
50450,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
51131,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
52150,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
52155,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
52490,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53175,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53181,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54207,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54525,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54543,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54891,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55270,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55272,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55552,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55570,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55609,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55893,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55948,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56259,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56283,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56286,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56920,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56938,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56940,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56959,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56964,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57299,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57622,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57624,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57966,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
57981,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58289,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58340,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58342,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58666,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58672,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58674,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58676,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58679,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58974,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58989,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58994,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59008,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
59318,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59345,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59348,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59673,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59678,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59682,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59685,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60002,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60015,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
60018,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60020,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
60022,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60034,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60347,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60349,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60352,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60355,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60699,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60705,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60718,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61029,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
61031,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61040,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61047,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61376,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61401,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61713,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61725,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61731,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62060,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62085,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62392,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62395,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62403,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62409,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62416,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62731,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62753,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62795,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63096,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
63100,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
63103,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63107,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63109,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63131,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63134,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63430,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63434,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63469,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63774,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63807,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64123,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64468,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
64490,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64815,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64818,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64821,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64823,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64826,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64828,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
65836,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
66176,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
66856,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
66863,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
67538,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
68564,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
68573,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
69591,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
69932,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
70270,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
70627,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
71309,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
71648,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
72331,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
