id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
76951,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
78263,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
79246,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
79261,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
79266,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
79902,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
80240,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
80886,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81521,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81541,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81872,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81890,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
81897,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82177,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82197,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82211,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82214,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82527,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82832,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
82853,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
82862,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83181,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83489,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83510,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83819,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83832,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
83839,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84475,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84483,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84495,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
84807,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84812,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
84813,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
