id,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
38078,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
39641,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
40677,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
42248,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43278,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43814,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
43843,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
44302,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
44310,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45397,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
45890,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
46408,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
46433,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47442,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47960,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47964,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
47986,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
49000,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
49514,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
50060,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
50552,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
50554,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
50557,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
51078,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
51590,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
51615,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
52114,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53098,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53100,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53144,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53621,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53668,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
53686,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54196,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54201,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54662,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54698,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54704,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
54710,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55702,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
55740,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56252,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56743,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
56782,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57265,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57294,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
57806,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58304,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58336,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58354,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58825,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58862,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58865,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
58868,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59347,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59351,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59354,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59357,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59360,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
59364,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
59367,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59369,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
59372,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
59376,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60396,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60400,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
60408,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61444,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61950,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
61954,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62480,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62986,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
62990,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63480,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63486,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
63490,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64012,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64022,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64026,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64033,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
64533,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
65055,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
65058,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
65062,421109.4,32556.34,1357.8,8732.0,6074.88,9.08,437284
65065,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
66612,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
66618,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
68166,210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
